#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
11	17064887	17065744	PGSPRETT00000012357	PGALLT00000090722	+	PgeneID:ENSMUST00000120073.1	ParentID:ENSMUST00000146867	LEVEL_1	PSSD	[[17064887, 17065744]]
X	516109	516629	PGSPRETT00000008222	PGALLT00000089328	+	PgeneID:ENSMUST00000119984.1	ParentID:ENSMUST00000204978	LEVEL_1	PSSD	[[516109, 516629]]
6	51048578	51049876	PGSPRETT00000005031	PGALLT00000096662	-	PgeneID:ENSMUST00000203654.1	ParentID:ENSMUST00000000317	LEVEL_1	PSSD	[[51048578, 51049876]]
3	152894917	152895083	PGSPRETT00000003871	PGALLT00000087900	-	PgeneID:ENSMUST00000162856.1	ParentID:NA	LEVEL_2	PSSD	[[152894917, 152895083]]
7	30542302	30542866	PGSPRETT00000001372	PGALLT00000096041	+	PgeneID:ENSMUST00000172625.1	ParentID:ENSMUST00000054220	LEVEL_1	PSSD	[[30542302, 30542866]]
9	34467717	34468102	PGSPRETT00000008406	PGALLT00000091441	+	PgeneID:ENSMUST00000183745.1	ParentID:NA	LEVEL_2	PSSD	[[34467717, 34468102]]
4	31521877	31522340	PGSPRETT00000008329	PGALLT00000087307	-	PgeneID:ENSMUST00000121908.1	ParentID:ENSMUST00000102844	LEVEL_1	PSSD	[[31521877, 31522340]]
4	81652793	81653707	PGSPRETT00000011710	PGALLT00000096257	-	PgeneID:ENSMUST00000119153.1	ParentID:ENSMUST00000031383	LEVEL_1	PSSD	[[81652793, 81653707]]
7	8256115	8263770	PGSPRETT00000008093	PGALLT00000088597	-	PgeneID:ENSMUST00000173825.2	ParentID:NA	LEVEL_2	DUP	[[8256115,  8256837],  [8263636, 8263770]]
5	73372229	73373386	PGSPRETT00000007585	PGALLT00000092811	+	PgeneID:ENSMUST00000202480.1	ParentID:ENSMUST00000109354	LEVEL_1	PSSD	[[73372229,  73372767],  [73372912, 73373386]]
7	7295702	7314229	PGSPRETT00000003091	PGALLT00000097000	-	PgeneID:ENSMUST00000121421.1	ParentID:NA	LEVEL_2	DUP	[[7295702,  7295814],  [7299057,  7299234],  [7314135, 7314229]]
11	85693625	85694074	PGSPRETT00000010990	PGALLT00000087355	+	PgeneID:ENSMUST00000206972.1	ParentID:NA	LEVEL_2	pseudogene	[[85693625, 85694074]]
1	129312973	129313581	PGSPRETT00000003462	PGALLT00000087166	-	PgeneID:ENSMUST00000188996.1	ParentID:ENSMUST00000102814	LEVEL_1	PSSD	[[129312973, 129313581]]
4	11370155	11370629	PGSPRETT00000003483	PGALLT00000088334	-	PgeneID:ENSMUST00000121999.1	ParentID:ENSMUST00000007708	LEVEL_1	PSSD	[[11370155, 11370629]]
14	44042619	44042672	PGSPRETT00000001376	PGALLT00000090525	+	PgeneID:ENSMUST00000167781.1	ParentID:NA	LEVEL_2	TR_J_pseudogene	[[44042619, 44042672]]
11	37857880	37858522	PGSPRETT00000003987	PGALLT00000088020	-	PgeneID:ENSMUST00000117479.1	ParentID:ENSMUST00000034928	LEVEL_1	PSSD	[[37857880,  37857950],  [37858235, 37858522]]
18	54782857	54783862	PGSPRETT00000006291	PGALLT00000094895	+	PgeneID:ENSMUST00000182449.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[54782857, 54783862]]
6	35305588	35306419	PGSPRETT00000000367	PGALLT00000093698	-	PgeneID:ENSMUST00000201745.1	ParentID:ENSMUST00000029938	LEVEL_1	PSSD	[[35305588, 35306419]]
16	10867322	10870670	PGSPRETT00000004487	PGALLT00000078476	-	PgeneID:ENSMUST00000117094.1	ParentID:ENSMUST00000033597	LEVEL_1	PSSD	[[10867322, 10870670]]
2	59585358	59586694	PGSPRETT00000002567	PGALLT00000093427	+	PgeneID:ENSMUST00000117428.1	ParentID:ENSMUST00000020339	LEVEL_1	PSSD	[[59585358, 59586694]]
4	74984043	74985317	PGSPRETT00000000988	PGALLT00000091710	+	PgeneID:ENSMUST00000119326.1	ParentID:ENSMUST00000038406	LEVEL_1	PSSD	[[74984043,  74984337],  [74984780, 74985317]]
12	108749066	108824479	PGSPRETT00000010330	PGALLT00000088910	-	PgeneID:ENSMUST00000193550.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[108749066,  108749303],  [108824435, 108824479]]
17	21151302	21157805	PGSPRETT00000004952	PGALLT00000087927	+	PgeneID:ENSMUST00000178598.2	ParentID:NA	LEVEL_2	PSSD	[[21151302,  21151458],  [21153051,  21153237],  [21154548,  21154642],  [21154931,  21155108],  [21157029,  21157170],  [21157712, 21157805]]
X	140619870	140670510	PGSPRETT00000012287	PGALLT00000093514	-	PgeneID:ENSMUST00000055593.8	ParentID:NA	LEVEL_2	PSSD	[[140619870,  140620196],  [140621062,  140621163],  [140625525,  140625586],  [140626442,  140626590],  [140629512,  140629705],  [140635684,  140635859],  [140647628,  140647728],  [140647876,  140647937],  [140670260,  140670330],  [140670470, 140670510]]
4	7963535	7963987	PGSPRETT00000012951	PGALLT00000095885	-	PgeneID:ENSMUST00000119177.1	ParentID:ENSMUST00000051955	LEVEL_1	PSSD	[[7963535, 7963987]]
3	27823653	27824145	PGSPRETT00000007247	PGALLT00000094429	+	PgeneID:ENSMUST00000193442.1	ParentID:ENSMUST00000023269	LEVEL_1	PSSD	[[27823653, 27824145]]
11	26961432	26962402	PGSPRETT00000007439	PGALLT00000088562	-	PgeneID:ENSMUST00000119263.1	ParentID:ENSMUST00000042405	LEVEL_1	PSSD	[[26961432, 26962402]]
16	10903303	10905642	PGSPRETT00000005728	PGALLT00000088314	+	PgeneID:ENSMUST00000119046.1	ParentID:ENSMUST00000079644	LEVEL_1	PSSD	[[10903303, 10905642]]
6	91491239	91493269	PGSPRETT00000003757	PGALLT00000087475	+	PgeneID:ENSMUST00000196547.1	ParentID:NA	LEVEL_2	PSSD	[[91491239,  91491321],  [91491359,  91492892],  [91492924, 91493269]]
5	4476718	4477398	PGSPRETT00000003923	PGALLT00000092681	+	PgeneID:ENSMUST00000188231.1	ParentID:NA	LEVEL_2	DUP	[[4476718, 4477398]]
6	84052753	84055548	PGSPRETT00000002107	PGALLT00000081752	+	PgeneID:ENSMUST00000126708.1	ParentID:ENSMUST00000113802	LEVEL_1	DUP	[[84052753,  84052882],  [84055520, 84055548]]
1	161323004	161326337	PGSPRETT00000012764	PGALLT00000094929	+	PgeneID:ENSMUST00000194705.1	ParentID:ENSMUST00000042493	LEVEL_1	PSSD	[[161323004, 161326337]]
3	67045994	67048072	PGSPRETT00000010749	PGALLT00000096012	-	PgeneID:ENSMUST00000165161.1	ParentID:ENSMUST00000204056	LEVEL_1	PSSD	[[67045994, 67048072]]
X	50575508	50575801	PGSPRETT00000004930	PGALLT00000089597	-	PgeneID:ENSMUST00000119169.1	ParentID:ENSMUST00000075453	LEVEL_1	PSSD	[[50575508, 50575801]]
11	83342868	83345299	PGSPRETT00000005492	PGALLT00000094611	+	PgeneID:ENSMUST00000121929.1	ParentID:jg12431.t1	LEVEL_1	PSSD	[[83342868, 83345299]]
4	62764851	62765585	PGSPRETT00000008716	PGALLT00000090408	-	PgeneID:ENSMUST00000118844.1	ParentID:ENSMUST00000003635	LEVEL_1	PSSD	[[62764851, 62765585]]
X	128317252	128321788	PGSPRETT00000010401	PGALLT00000092674	+	PgeneID:ENSMUST00000120793.1	ParentID:ENSMUST00000110105	LEVEL_1	PSSD	[[128317252,  128319212],  [128319626, 128321788]]
2	85566816	85567760	PGSPRETT00000001308	PGALLT00000090496	+	PgeneID:ENSMUST00000121340.1	ParentID:NA	LEVEL_2	DUP	[[85566816, 85567760]]
1	156068271	156068827	PGSPRETT00000004879	PGALLT00000096594	-	PgeneID:ENSMUST00000185981.1	ParentID:ENSMUST00000010536	LEVEL_1	PSSD	[[156068271, 156068827]]
3	29091539	29092355	PGSPRETT00000004541	PGALLT00000089971	+	PgeneID:ENSMUST00000192855.1	ParentID:ENSMUST00000102814	LEVEL_1	PSSD	[[29091539, 29092355]]
X	88365047	88488653	PGSPRETT00000001577	PGALLT00000085319	-	PgeneID:ENSMUST00000120795.1	ParentID:NA	LEVEL_2	DUP	[[88365047,  88365307],  [88488589, 88488653]]
11	60684208	60684733	PGSPRETT00000010082	PGALLT00000088389	-	PgeneID:ENSMUST00000117939.1	ParentID:ENSMUST00000205490	LEVEL_1	PSSD	[[60684208, 60684733]]
3	17623813	17624048	PGSPRETT00000012117	PGALLT00000089792	-	PgeneID:ENSMUST00000192450.1	ParentID:ENSMUST00000180341	LEVEL_1	PSSD	[[17623813, 17624048]]
6	84009553	84011193	PGSPRETT00000007806	PGALLT00000096333	+	PgeneID:ENSMUST00000203740.1	ParentID:ENSMUST00000178211	LEVEL_1	PSSD	[[84009553, 84011193]]
1	64616929	64617239	PGSPRETT00000003557	PGALLT00000094978	-	PgeneID:ENSMUST00000189785.1	ParentID:jg11400.t2	LEVEL_1	PSSD	[[64616929, 64617239]]
2	170034122	170034706	PGSPRETT00000007908	PGALLT00000093526	+	PgeneID:ENSMUST00000118482.1	ParentID:ENSMUST00000173864	LEVEL_1	PSSD	[[170034122, 170034706]]
1	72608805	72609194	PGSPRETT00000006831	PGALLT00000096654	+	PgeneID:ENSMUST00000117212.1	ParentID:ENSMUST00000069579	LEVEL_1	PSSD	[[72608805, 72609194]]
1	48605459	48606565	PGSPRETT00000004028	PGALLT00000094369	+	PgeneID:ENSMUST00000178167.2	ParentID:ENSMUST00000026125	LEVEL_1	PSSD	[[48605459, 48606565]]
11	11430186	11431591	PGSPRETT00000008092	PGALLT00000092349	+	PgeneID:ENSMUST00000121451.1	ParentID:ENSMUST00000150485	LEVEL_1	PSSD	[[11430186,  11430459],  [11431431, 11431591]]
11	14900408	14901086	PGSPRETT00000001900	PGALLT00000088730	-	PgeneID:ENSMUST00000119079.1	ParentID:ENSMUST00000058437	LEVEL_1	PSSD	[[14900408, 14901086]]
X	132977529	132977893	PGSPRETT00000005522	PGALLT00000092633	-	PgeneID:ENSMUST00000154056.1	ParentID:ENSMUST00000138502	LEVEL_1	PSSD	[[132977529, 132977893]]
14	18835121	18835969	PGSPRETT00000012252	PGALLT00000091870	-	PgeneID:ENSMUST00000160441.1	ParentID:ENSMUST00000196402	LEVEL_1	PSSD	[[18835121, 18835969]]
3	44505960	44506950	PGSPRETT00000003114	PGALLT00000087198	-	PgeneID:ENSMUST00000182641.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[44505960, 44506950]]
2	75556724	75557490	PGSPRETT00000005147	PGALLT00000090545	-	PgeneID:ENSMUST00000120947.1	ParentID:ENSMUST00000018431	LEVEL_1	PSSD	[[75556724,  75557151],  [75557457, 75557490]]
4	7665625	7666538	PGSPRETT00000007784	PGALLT00000094183	+	PgeneID:ENSMUST00000121003.1	ParentID:ENSMUST00000021084	LEVEL_1	PSSD	[[7665625, 7666538]]
3	73101841	73103216	PGSPRETT00000012674	PGALLT00000096598	+	PgeneID:ENSMUST00000191976.1	ParentID:ENSMUST00000023952	LEVEL_1	PSSD	[[73101841, 73103216]]
13	61748777	61750969	PGSPRETT00000002795	PGALLT00000092256	+	PgeneID:ENSMUST00000177721.1	ParentID:ENSMUST00000021428	LEVEL_1	PSSD	[[61748777, 61750969]]
6	125616609	125617036	PGSPRETT00000000666	PGALLT00000094041	+	PgeneID:ENSMUST00000161498.2	ParentID:ENSMUST00000102483	LEVEL_1	PSSD	[[125616609, 125617036]]
7	116656531	116656762	PGSPRETT00000011344	PGALLT00000093451	+	PgeneID:ENSMUST00000207021.1	ParentID:ENSMUST00000059980	LEVEL_1	PSSD	[[116656531, 116656762]]
12	49967237	49968569	PGSPRETT00000000318	PGALLT00000092254	-	PgeneID:ENSMUST00000140773.1	ParentID:ENSMUST00000092673	LEVEL_1	PSSD	[[49967237, 49968569]]
11	123587849	123588343	PGSPRETT00000001020	PGALLT00000095170	-	PgeneID:ENSMUST00000202633.1	ParentID:NA	LEVEL_2	pseudogene	[[123587849, 123588343]]
12	109484127	109484417	PGSPRETT00000008968	PGALLT00000096767	-	PgeneID:ENSMUST00000194897.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[109484127, 109484417]]
1	60253866	60254571	PGSPRETT00000003400	PGALLT00000090575	-	PgeneID:ENSMUST00000120063.1	ParentID:ENSMUST00000169678	LEVEL_1	PSSD	[[60253866, 60254571]]
X	78388636	78389094	PGSPRETT00000003617	PGALLT00000094966	+	PgeneID:ENSMUST00000120611.1	ParentID:ENSMUST00000060251	LEVEL_1	PSSD	[[78388636, 78389094]]
7	73253588	73254276	PGSPRETT00000009021	PGALLT00000096873	-	PgeneID:ENSMUST00000173735.1	ParentID:ENSMUST00000049385	LEVEL_1	PSSD	[[73253588, 73254276]]
2	144307836	144308456	PGSPRETT00000008183	PGALLT00000097060	-	PgeneID:ENSMUST00000117873.1	ParentID:ENSMUST00000102814	LEVEL_1	PSSD	[[144307836, 144308456]]
3	109073024	109073357	PGSPRETT00000007482	PGALLT00000095618	-	PgeneID:ENSMUST00000200356.1	ParentID:NA	LEVEL_2	PSSD	[[109073024, 109073357]]
2	83323063	83323272	PGSPRETT00000004222	PGALLT00000091275	+	PgeneID:ENSMUST00000117925.1	ParentID:ENSMUST00000103133	LEVEL_1	PSSD	[[83323063, 83323272]]
4	22006584	22008039	PGSPRETT00000008570	PGALLT00000092458	+	PgeneID:ENSMUST00000121989.1	ParentID:ENSMUST00000051925	LEVEL_1	PSSD	[[22006584, 22008039]]
7	28896	29380	PGSPRETT00000005779	PGALLT00000091009	-	PgeneID:ENSMUST00000199178.1	ParentID:ENSMUST00000028551	LEVEL_1	PSSD	[[28896,  28930],  [29006, 29380]]
6	38856564	38856836	PGSPRETT00000000971	PGALLT00000096818	+	PgeneID:ENSMUST00000194700.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[38856564, 38856836]]
14	5858121	5858429	PGSPRETT00000005808	PGALLT00000089848	-	PgeneID:ENSMUST00000118492.1	ParentID:ENSMUST00000179341	LEVEL_1	PSSD	[[5858121, 5858429]]
X	12504204	12506180	PGSPRETT00000001505	PGALLT00000088337	-	PgeneID:ENSMUST00000120949.1	ParentID:ENSMUST00000015800	LEVEL_1	PSSD	[[12504204, 12506180]]
16	457225	457530	PGSPRETT00000001553	PGALLT00000089370	+	PgeneID:ENSMUST00000121410.2	ParentID:ENSMUST00000045897	LEVEL_1	PSSD	[[457225, 457530]]
4	118721613	118731544	PGSPRETT00000010742	PGALLT00000087690	-	PgeneID:ENSMUST00000119988.1	ParentID:NA	LEVEL_2	DUP	[[118721613,  118721687],  [118723018,  118723133],  [118723722,  118723819],  [118731412, 118731544]]
X	146485726	146486180	PGSPRETT00000009774	PGALLT00000091226	+	PgeneID:ENSMUST00000122339.1	ParentID:ENSMUST00000137881	LEVEL_1	PSSD	[[146485726, 146486180]]
11	104524806	104525623	PGSPRETT00000007826	PGALLT00000091741	-	PgeneID:ENSMUST00000120601.1	ParentID:ENSMUST00000033008	LEVEL_1	PSSD	[[104524806,  104525323],  [104525496, 104525623]]
14	41245771	41246208	PGSPRETT00000005809	PGALLT00000095332	+	PgeneID:ENSMUST00000162314.1	ParentID:ENSMUST00000066719	LEVEL_1	DUP	[[41245771, 41246208]]
1	157625756	157626095	PGSPRETT00000007588	PGALLT00000089201	+	PgeneID:ENSMUST00000193803.1	ParentID:ENSMUST00000099272	LEVEL_1	PSSD	[[157625756, 157626095]]
2	74580671	74581381	PGSPRETT00000000646	PGALLT00000088662	-	PgeneID:ENSMUST00000117183.1	ParentID:ENSMUST00000102696	LEVEL_1	PSSD	[[74580671, 74581381]]
3	71679661	71681022	PGSPRETT00000000208	PGALLT00000094800	+	PgeneID:ENSMUST00000194185.1	ParentID:ENSMUST00000111964	LEVEL_1	PSSD	[[71679661, 71681022]]
9	125804829	125805137	PGSPRETT00000011699	PGALLT00000089518	+	PgeneID:ENSMUST00000172274.1	ParentID:ENSMUST00000185384	LEVEL_1	PSSD	[[125804829, 125805137]]
X	44674552	44675779	PGSPRETT00000007124	PGALLT00000096235	-	PgeneID:ENSMUST00000119069.1	ParentID:ENSMUST00000001724	LEVEL_1	PSSD	[[44674552, 44675779]]
1	18866264	18871697	PGSPRETT00000003981	PGALLT00000091911	-	PgeneID:ENSMUST00000178260.1	ParentID:ENSMUST00000027067	LEVEL_1	DUP	[[18866264,  18866390],  [18867180,  18867321],  [18870636,  18870757],  [18871649, 18871697]]
10	118047968	118048677	PGSPRETT00000010833	PGALLT00000091145	-	PgeneID:ENSMUST00000193219.1	ParentID:ENSMUST00000090257	LEVEL_1	PSSD	[[118047968, 118048677]]
1	32600642	32600877	PGSPRETT00000007842	PGALLT00000095817	-	PgeneID:ENSMUST00000192770.1	ParentID:ENSMUST00000165173	LEVEL_1	PSSD	[[32600642, 32600877]]
6	46579240	46580637	PGSPRETT00000001825	PGALLT00000090608	+	PgeneID:ENSMUST00000203170.1	ParentID:ENSMUST00000031835	LEVEL_1	PSSD	[[46579240, 46580637]]
2	106962682	106963256	PGSPRETT00000011083	PGALLT00000090561	+	PgeneID:ENSMUST00000119402.1	ParentID:ENSMUST00000114882	LEVEL_1	PSSD	[[106962682, 106963256]]
9	123371135	123374283	PGSPRETT00000002580	PGALLT00000093893	+	PgeneID:ENSMUST00000196881.1	ParentID:ENSMUST00000066773	LEVEL_1	DUP	[[123371135,  123372256],  [123372551,  123372655],  [123373070,  123373241],  [123373811,  123373888],  [123374251, 123374283]]
11	18655044	18655758	PGSPRETT00000003565	PGALLT00000090502	-	PgeneID:ENSMUST00000118219.1	ParentID:ENSMUST00000011492	LEVEL_1	PSSD	[[18655044, 18655758]]
4	62445356	62445693	PGSPRETT00000005993	PGALLT00000091428	+	PgeneID:ENSMUST00000119808.1	ParentID:NA	LEVEL_2	PSSD	[[62445356, 62445693]]
13	19117939	19118827	PGSPRETT00000000660	PGALLT00000094881	-	PgeneID:ENSMUST00000120434.1	ParentID:NA	LEVEL_2	DUP	[[19117939, 19118827]]
7	117993270	117994933	PGSPRETT00000008940	PGALLT00000094610	-	PgeneID:ENSMUST00000206016.1	ParentID:ENSMUST00000025364	LEVEL_1	PSSD	[[117993270, 117994933]]
X	131327301	131328041	PGSPRETT00000010369	PGALLT00000093023	-	PgeneID:ENSMUST00000120790.1	ParentID:ENSMUST00000022135	LEVEL_1	PSSD	[[131327301, 131328041]]
2	82447328	82447941	PGSPRETT00000008654	PGALLT00000090624	-	PgeneID:ENSMUST00000122185.1	ParentID:ENSMUST00000014370	LEVEL_1	PSSD	[[82447328, 82447941]]
11	106391719	106392145	PGSPRETT00000003684	PGALLT00000095439	+	PgeneID:ENSMUST00000120955.1	ParentID:ENSMUST00000065745	LEVEL_1	PSSD	[[106391719, 106392145]]
3	94514260	94515812	PGSPRETT00000002582	PGALLT00000096392	-	PgeneID:ENSMUST00000159536.1	ParentID:ENSMUST00000170517	LEVEL_1	transcribed_PSSD	[[94514260, 94515812]]
5	69802654	69802885	PGSPRETT00000010841	PGALLT00000095231	-	PgeneID:ENSMUST00000197380.1	ParentID:NA	LEVEL_2	transcribed_PSSD	[[69802654, 69802885]]
X	37135795	37145819	PGSPRETT00000008763	PGALLT00000093523	-	PgeneID:ENSMUST00000193588.1	ParentID:NA	LEVEL_2	PSSD	[[37135795,  37135957],  [37143722,  37143938],  [37145503,  37145578],  [37145668, 37145819]]
1	59791374	59792714	PGSPRETT00000012283	PGALLT00000087787	+	PgeneID:ENSMUST00000121926.1	ParentID:ENSMUST00000032373	LEVEL_1	PSSD	[[59791374,  59791965],  [59792514, 59792714]]
2	22225826	22226411	PGSPRETT00000009757	PGALLT00000096279	+	PgeneID:ENSMUST00000184217.1	ParentID:ENSMUST00000052396	LEVEL_1	transcribed_PSSD	[[22225826, 22226411]]
6	38810673	38810966	PGSPRETT00000001914	PGALLT00000094320	+	PgeneID:ENSMUST00000194256.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[38810673, 38810966]]
X	70055996	70057022	PGSPRETT00000001121	PGALLT00000095813	-	PgeneID:ENSMUST00000118888.1	ParentID:ENSMUST00000125172	LEVEL_1	PSSD	[[70055996, 70057022]]
6	110093465	110094424	PGSPRETT00000000886	PGALLT00000092941	+	PgeneID:ENSMUST00000204363.1	ParentID:ENSMUST00000145814	LEVEL_1	PSSD	[[110093465, 110094424]]
17	16821240	16828005	PGSPRETT00000007803	PGALLT00000090171	-	PgeneID:ENSMUST00000175850.1	ParentID:ENSMUST00000167093	LEVEL_1	DUP	[[16821240,  16822153],  [16827882, 16828005]]
13	18360215	18361318	PGSPRETT00000003238	PGALLT00000085943	+	PgeneID:ENSMUST00000117530.1	ParentID:NA	LEVEL_2	DUP	[[18360215, 18361318]]
X	144931266	144932168	PGSPRETT00000011749	PGALLT00000087840	-	PgeneID:ENSMUST00000119072.1	ParentID:ENSMUST00000094434	LEVEL_1	PSSD	[[144931266, 144932168]]
11	116932050	116933234	PGSPRETT00000001494	PGALLT00000093135	+	PgeneID:ENSMUST00000122121.1	ParentID:ENSMUST00000020099	LEVEL_1	PSSD	[[116932050,  116932148],  [116932380,  116932784],  [116932853, 116933234]]
11	70060958	70061390	PGSPRETT00000007617	PGALLT00000096992	-	PgeneID:ENSMUST00000118803.1	ParentID:ENSMUST00000073471	LEVEL_1	PSSD	[[70060958, 70061390]]
2	134023297	134023899	PGSPRETT00000006973	PGALLT00000092057	-	PgeneID:ENSMUST00000119075.1	ParentID:ENSMUST00000152794	LEVEL_1	PSSD	[[134023297, 134023899]]
11	29974398	29978227	PGSPRETT00000001271	PGALLT00000093129	+	PgeneID:ENSMUST00000121140.1	ParentID:ENSMUST00000054289	LEVEL_1	PSSD	[[29974398,  29974673],  [29977904, 29978227]]
11	62353911	62357063	PGSPRETT00000006395	PGALLT00000094143	-	PgeneID:ENSMUST00000117937.1	ParentID:ENSMUST00000031309	LEVEL_1	PSSD	[[62353911,  62356356],  [62356450, 62357063]]
5	31086784	31087194	PGSPRETT00000009386	PGALLT00000095921	+	PgeneID:ENSMUST00000202183.1	ParentID:ENSMUST00000043675	LEVEL_1	PSSD	[[31086784, 31087194]]
1	173211181	173211435	PGSPRETT00000000718	PGALLT00000088041	+	PgeneID:ENSMUST00000194254.1	ParentID:NA	LEVEL_2	PSSD	[[173211181, 173211435]]
10	21370008	21370932	PGSPRETT00000003903	PGALLT00000090343	+	PgeneID:ENSMUST00000119318.1	ParentID:ENSMUST00000103147	LEVEL_1	PSSD	[[21370008, 21370932]]
13	26463283	26463882	PGSPRETT00000007361	PGALLT00000093412	+	PgeneID:ENSMUST00000119279.1	ParentID:jg4461.t1	LEVEL_1	PSSD	[[26463283,  26463433],  [26463585, 26463882]]
6	40238208	40238554	PGSPRETT00000008425	PGALLT00000088654	+	PgeneID:ENSMUST00000205206.1	ParentID:ENSMUST00000053647	LEVEL_1	DUP	[[40238208, 40238554]]
6	55952863	55953332	PGSPRETT00000007398	PGALLT00000079843	+	PgeneID:ENSMUST00000121788.1	ParentID:ENSMUST00000068408	LEVEL_1	PSSD	[[55952863, 55953332]]
X	22208187	22209889	PGSPRETT00000012657	PGALLT00000092960	+	PgeneID:ENSMUST00000122131.1	ParentID:ENSMUST00000089246	LEVEL_1	DUP	[[22208187,  22208796],  [22209840, 22209889]]
11	7418669	7419582	PGSPRETT00000010293	PGALLT00000093956	+	PgeneID:ENSMUST00000117538.1	ParentID:ENSMUST00000073605	LEVEL_1	PSSD	[[7418669, 7419582]]
1	6496850	6497367	PGSPRETT00000002870	PGALLT00000090734	-	PgeneID:ENSMUST00000195333.1	ParentID:ENSMUST00000035105	LEVEL_1	PSSD	[[6496850, 6497367]]
4	109301320	109302609	PGSPRETT00000003735	PGALLT00000088457	+	PgeneID:ENSMUST00000119622.1	ParentID:ENSMUST00000163281	LEVEL_1	DUP	[[109301320,  109301666],  [109302123, 109302609]]
2	44283945	44284452	PGSPRETT00000006799	PGALLT00000088590	+	PgeneID:ENSMUST00000118312.1	ParentID:ENSMUST00000032597	LEVEL_1	PSSD	[[44283945, 44284452]]
X	122979954	122981816	PGSPRETT00000010087	PGALLT00000087682	+	PgeneID:ENSMUST00000118201.1	ParentID:ENSMUST00000087351	LEVEL_1	PSSD	[[122979954,  122980227],  [122981138, 122981816]]
3	64559570	64559891	PGSPRETT00000008016	PGALLT00000092347	+	PgeneID:ENSMUST00000196891.1	ParentID:ENSMUST00000132846	LEVEL_1	PSSD	[[64559570, 64559891]]
6	133970800	133971737	PGSPRETT00000003755	PGALLT00000081597	-	PgeneID:ENSMUST00000203794.1	ParentID:ENSMUST00000068302	LEVEL_1	DUP	[[133970800,  133971305],  [133971339, 133971737]]
12	109906854	109907287	PGSPRETT00000006407	PGALLT00000085577	+	PgeneID:ENSMUST00000192823.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[109906854,  109906899],  [109906983, 109907287]]
4	41668000	41668624	PGSPRETT00000008970	PGALLT00000094724	-	PgeneID:ENSMUST00000118668.1	ParentID:NA	LEVEL_2	PSSD	[[41668000,  41668351],  [41668556, 41668624]]
X	94688337	94689525	PGSPRETT00000006526	PGALLT00000090764	+	PgeneID:ENSMUST00000118721.1	ParentID:ENSMUST00000023598	LEVEL_1	PSSD	[[94688337, 94689525]]
15	100324569	100325332	PGSPRETT00000009804	PGALLT00000097062	-	PgeneID:ENSMUST00000178090.1	ParentID:ENSMUST00000001162	LEVEL_1	PSSD	[[100324569, 100325332]]
