#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
1	130533154	130533777	PGCAROLIT00000008935	PGALLT00000096020	-	PgeneID:ENSMUST00000194152.1	ParentID:ENSMUST00000167387	LEVEL_1	PSSD	[[130533154, 130533777]]
3	145881709	145881875	PGCAROLIT00000002168	PGALLT00000087900	-	PgeneID:ENSMUST00000162856.1	ParentID:NA	LEVEL_2	PSSD	[[145881709, 145881875]]
scaffold_23519	4279	4713	PGCAROLIT00000000111	PGALLT00000095332	-	PgeneID:ENSMUST00000162314.1	ParentID:NA	LEVEL_2	DUP	[[4279, 4713]]
4	68226522	68227881	PGCAROLIT00000007340	PGALLT00000091323	+	PgeneID:ENSMUST00000121596.1	ParentID:ENSMUST00000055990	LEVEL_1	PSSD	[[68226522, 68227881]]
2	15536900	15538577	PGCAROLIT00000008756	PGALLT00000095761	-	PgeneID:ENSMUST00000120451.1	ParentID:ENSMUST00000003621	LEVEL_1	PSSD	[[15536900, 15538577]]
4	77822091	77822565	PGCAROLIT00000006854	PGALLT00000096257	-	PgeneID:ENSMUST00000119153.1	ParentID:ENSMUST00000111343	LEVEL_1	PSSD	[[77822091, 77822565]]
7	14842606	14848209	PGCAROLIT00000006704	PGALLT00000088597	-	PgeneID:ENSMUST00000173825.2	ParentID:NA	LEVEL_2	DUP	[[14842606,  14843328],  [14848075, 14848209]]
11	80460288	80460749	PGCAROLIT00000002792	PGALLT00000087355	+	PgeneID:ENSMUST00000206972.1	ParentID:NA	LEVEL_2	pseudogene	[[80460288, 80460749]]
6	35850639	35851217	PGCAROLIT00000005980	PGALLT00000090066	-	PgeneID:ENSMUST00000193013.1	ParentID:ENSMUST00000030417	LEVEL_1	PSSD	[[35850639, 35851217]]
15	50520892	50521357	PGCAROLIT00000000174	PGALLT00000088334	-	PgeneID:ENSMUST00000121999.1	ParentID:ENSMUST00000007708	LEVEL_1	PSSD	[[50520892, 50521357]]
14	45589200	45589253	PGCAROLIT00000007718	PGALLT00000090525	+	PgeneID:ENSMUST00000167781.1	ParentID:NA	LEVEL_2	TR_J_pseudogene	[[45589200, 45589253]]
11	35208557	35209422	PGCAROLIT00000002784	PGALLT00000088020	-	PgeneID:ENSMUST00000117479.1	ParentID:NA	LEVEL_2	PSSD	[[35208557,  35208627],  [35209135, 35209422]]
X	41844425	41844734	PGCAROLIT00000006313	PGALLT00000089832	+	PgeneID:ENSMUST00000120043.1	ParentID:ENSMUST00000169681	LEVEL_1	PSSD	[[41844425, 41844734]]
6	32480416	32481413	PGCAROLIT00000009472	PGALLT00000093698	-	PgeneID:ENSMUST00000201745.1	ParentID:ENSMUST00000029938	LEVEL_1	PSSD	[[32480416, 32481413]]
16	10530739	10532412	PGCAROLIT00000002788	PGALLT00000078476	-	PgeneID:ENSMUST00000117094.1	ParentID:ENSMUST00000033597	LEVEL_1	PSSD	[[10530739,  10531896],  [10531939, 10532412]]
2	55424957	55426313	PGCAROLIT00000003542	PGALLT00000093427	+	PgeneID:ENSMUST00000117428.1	ParentID:ENSMUST00000020339	LEVEL_1	PSSD	[[55424957, 55426313]]
4	71693915	71695816	PGCAROLIT00000009607	PGALLT00000091710	+	PgeneID:ENSMUST00000119326.1	ParentID:ENSMUST00000007449	LEVEL_1	PSSD	[[71693915,  71694111],  [71694726,  71694829],  [71695280, 71695816]]
scaffold_15064	15751	16478	PGCAROLIT00000000352	PGALLT00000079531	+	PgeneID:ENSMUST00000118892.1	ParentID:NA	LEVEL_2	PSSD	[[15751,  15846],  [15885,  16320],  [16395, 16478]]
3	120772631	120773894	PGCAROLIT00000010649	PGALLT00000088965	-	PgeneID:ENSMUST00000196541.1	ParentID:ENSMUST00000138502	LEVEL_1	transcribed_DUP	[[120772631,  120772845],  [120773750, 120773894]]
X	151104458	151153414	PGCAROLIT00000003351	PGALLT00000093514	-	PgeneID:ENSMUST00000055593.8	ParentID:NA	LEVEL_2	PSSD	[[151104458,  151104784],  [151105804,  151105905],  [151110201,  151110262],  [151111122,  151111240],  [151114213,  151114406],  [151121202,  151121377],  [151136800,  151136900],  [151137048,  151137109],  [151153171,  151153240],  [151153374, 151153414]]
X	106216479	106217437	PGCAROLIT00000008613	PGALLT00000087489	+	PgeneID:ENSMUST00000119482.1	ParentID:ENSMUST00000147535	LEVEL_1	PSSD	[[106216479, 106217437]]
4	7463365	7463722	PGCAROLIT00000010968	PGALLT00000095885	-	PgeneID:ENSMUST00000119177.1	ParentID:ENSMUST00000051955	LEVEL_1	PSSD	[[7463365, 7463722]]
1	125139646	125140471	PGCAROLIT00000002356	PGALLT00000088630	+	PgeneID:ENSMUST00000188004.1	ParentID:ENSMUST00000143678	LEVEL_1	PSSD	[[125139646, 125140471]]
11	24964488	24965513	PGCAROLIT00000002943	PGALLT00000088562	-	PgeneID:ENSMUST00000119263.1	ParentID:ENSMUST00000042405	LEVEL_1	PSSD	[[24964488, 24965513]]
11	90478653	90479418	PGCAROLIT00000002158	PGALLT00000090274	-	PgeneID:ENSMUST00000146507.1	ParentID:NA	LEVEL_2	DUP	[[90478653,  90478810],  [90479014,  90479178],  [90479386, 90479418]]
2	159026503	159026695	PGCAROLIT00000001847	PGALLT00000089238	+	PgeneID:ENSMUST00000121824.1	ParentID:ENSMUST00000112268	LEVEL_1	PSSD	[[159026503, 159026695]]
X	151166389	151167953	PGCAROLIT00000003158	PGALLT00000093069	+	PgeneID:ENSMUST00000121443.1	ParentID:ENSMUST00000163694	LEVEL_1	PSSD	[[151166389,  151166893],  [151167671,  151167719],  [151167826, 151167953]]
6	88208978	88210986	PGCAROLIT00000005901	PGALLT00000087475	+	PgeneID:ENSMUST00000196547.1	ParentID:NA	LEVEL_2	PSSD	[[88208978,  88209060],  [88209098,  88210609],  [88210641, 88210986]]
X	40706181	40707235	PGCAROLIT00000008122	PGALLT00000095317	+	PgeneID:ENSMUST00000118521.1	ParentID:jg9209.t1	LEVEL_1	PSSD	[[40706181, 40707235]]
11	1770930	1771442	PGCAROLIT00000006998	PGALLT00000089036	+	PgeneID:ENSMUST00000121125.1	ParentID:ENSMUST00000079716	LEVEL_1	PSSD	[[1770930, 1771442]]
2	78080944	78082376	PGCAROLIT00000009649	PGALLT00000090720	-	PgeneID:ENSMUST00000118734.1	ParentID:ENSMUST00000151242	LEVEL_1	PSSD	[[78080944, 78082376]]
3	62897457	62899607	PGCAROLIT00000005667	PGALLT00000096012	-	PgeneID:ENSMUST00000165161.1	ParentID:ENSMUST00000089287	LEVEL_1	PSSD	[[62897457,  62897533],  [62898327, 62899607]]
9	80632575	80633656	PGCAROLIT00000003811	PGALLT00000094476	-	PgeneID:ENSMUST00000185454.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[80632575, 80633656]]
11	77980976	77983549	PGCAROLIT00000010123	PGALLT00000094611	+	PgeneID:ENSMUST00000121929.1	ParentID:ENSMUST00000059580	LEVEL_1	PSSD	[[77980976, 77983549]]
4	60579713	60580789	PGCAROLIT00000010531	PGALLT00000090408	-	PgeneID:ENSMUST00000118844.1	ParentID:ENSMUST00000003635	LEVEL_1	PSSD	[[60579713, 60580789]]
X	138968910	138973411	PGCAROLIT00000008220	PGALLT00000092674	+	PgeneID:ENSMUST00000120793.1	ParentID:ENSMUST00000110105	LEVEL_1	PSSD	[[138968910,  138970942],  [138971261, 138973411]]
X	62650018	62650548	PGCAROLIT00000010748	PGALLT00000088106	+	PgeneID:ENSMUST00000121692.1	ParentID:ENSMUST00000143678	LEVEL_1	PSSD	[[62650018, 62650548]]
1	145050560	145051116	PGCAROLIT00000007330	PGALLT00000096594	-	PgeneID:ENSMUST00000185981.1	ParentID:ENSMUST00000010536	LEVEL_1	PSSD	[[145050560, 145051116]]
4	45997949	45999509	PGCAROLIT00000006224	PGALLT00000096252	-	PgeneID:ENSMUST00000119476.1	ParentID:ENSMUST00000032969	LEVEL_1	PSSD	[[45997949, 45999509]]
9	85731034	85731506	PGCAROLIT00000010482	PGALLT00000095495	+	PgeneID:ENSMUST00000190444.1	ParentID:ENSMUST00000036004	LEVEL_1	PSSD	[[85731034, 85731506]]
2	21887796	21888763	PGCAROLIT00000009963	PGALLT00000095187	-	PgeneID:ENSMUST00000118484.1	ParentID:ENSMUST00000021090	LEVEL_1	PSSD	[[21887796, 21888763]]
X	100260276	100473063	PGCAROLIT00000003105	PGALLT00000085319	-	PgeneID:ENSMUST00000120795.1	ParentID:NA	LEVEL_2	DUP	[[100260276,  100260536],  [100472999, 100473063]]
X	61998706	62002603	PGCAROLIT00000009839	PGALLT00000084888	+	PgeneID:ENSMUST00000190024.1	ParentID:ENSMUST00000161308	LEVEL_1	PSSD	[[61998706,  61998876],  [62001725, 62002603]]
3	15924269	15924504	PGCAROLIT00000009569	PGALLT00000089792	-	PgeneID:ENSMUST00000192450.1	ParentID:ENSMUST00000180020	LEVEL_1	PSSD	[[15924269, 15924504]]
3	103375775	103376648	PGCAROLIT00000004109	PGALLT00000092461	-	PgeneID:ENSMUST00000120957.1	ParentID:ENSMUST00000017339	LEVEL_1	PSSD	[[103375775, 103376648]]
1	59404723	59405013	PGCAROLIT00000004083	PGALLT00000094978	-	PgeneID:ENSMUST00000189785.1	ParentID:ENSMUST00000035105	LEVEL_1	PSSD	[[59404723, 59405013]]
2	159513505	159514068	PGCAROLIT00000004072	PGALLT00000093526	+	PgeneID:ENSMUST00000118482.1	ParentID:ENSMUST00000173098	LEVEL_1	PSSD	[[159513505, 159514068]]
X	105208790	105209528	PGCAROLIT00000011152	PGALLT00000093921	+	PgeneID:ENSMUST00000120202.1	ParentID:ENSMUST00000059515	LEVEL_1	PSSD	[[105208790, 105209528]]
X	74305319	74307941	PGCAROLIT00000002250	PGALLT00000096123	+	PgeneID:ENSMUST00000121113.1	ParentID:ENSMUST00000059580	LEVEL_1	PSSD	[[74305319, 74307941]]
11	13696211	13696892	PGCAROLIT00000010196	PGALLT00000088730	-	PgeneID:ENSMUST00000119079.1	ParentID:ENSMUST00000149566	LEVEL_1	PSSD	[[13696211, 13696892]]
5	128479821	128480208	PGCAROLIT00000004559	PGALLT00000094878	-	PgeneID:ENSMUST00000179536.1	ParentID:NA	LEVEL_2	pseudogene	[[128479821, 128480208]]
3	41137186	41138197	PGCAROLIT00000002226	PGALLT00000087198	-	PgeneID:ENSMUST00000182641.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[41137186, 41138197]]
2	70627719	70628496	PGCAROLIT00000001864	PGALLT00000090545	-	PgeneID:ENSMUST00000120947.1	ParentID:ENSMUST00000018431	LEVEL_1	PSSD	[[70627719,  70628146],  [70628458, 70628496]]
4	7174052	7175666	PGCAROLIT00000009093	PGALLT00000094183	+	PgeneID:ENSMUST00000121003.1	ParentID:ENSMUST00000153892	LEVEL_1	PSSD	[[7174052, 7175666]]
11	82670894	82672697	PGCAROLIT00000002363	PGALLT00000090140	+	PgeneID:ENSMUST00000118342.1	ParentID:ENSMUST00000032138	LEVEL_1	PSSD	[[82670894,  82671065],  [82671980,  82672054],  [82672475, 82672697]]
5	68179748	68180086	PGCAROLIT00000001956	PGALLT00000094152	+	PgeneID:ENSMUST00000201331.1	ParentID:ENSMUST00000141274	LEVEL_1	PSSD	[[68179748, 68180086]]
7	128759677	128759903	PGCAROLIT00000002954	PGALLT00000093451	+	PgeneID:ENSMUST00000207021.1	ParentID:ENSMUST00000059980	LEVEL_1	PSSD	[[128759677, 128759903]]
12	52813894	52817010	PGCAROLIT00000000298	PGALLT00000092254	-	PgeneID:ENSMUST00000140773.1	ParentID:ENSMUST00000164659	LEVEL_1	PSSD	[[52813894,  52815176],  [52817004, 52817010]]
11	116527020	116527513	PGCAROLIT00000001104	PGALLT00000095170	-	PgeneID:ENSMUST00000202633.1	ParentID:NA	LEVEL_2	pseudogene	[[116527020, 116527513]]
12	108878894	108879183	PGCAROLIT00000002661	PGALLT00000096767	-	PgeneID:ENSMUST00000194897.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[108878894, 108879183]]
1	55319447	55320152	PGCAROLIT00000005974	PGALLT00000090575	-	PgeneID:ENSMUST00000120063.1	ParentID:ENSMUST00000169678	LEVEL_1	PSSD	[[55319447, 55320152]]
17	3150149	3174810	PGCAROLIT00000005258	PGALLT00000080712	+	PgeneID:ENSMUST00000167717.3	ParentID:NA	LEVEL_2	transcribed_DUP	[[3150149,  3150252],  [3156449,  3156504],  [3158525,  3158612],  [3160113,  3160234],  [3164113,  3164223],  [3164907,  3164987],  [3166656,  3166725],  [3167273,  3167403],  [3167574,  3167665],  [3168779,  3168836],  [3170345,  3170447],  [3170855,  3170906],  [3172618,  3172700],  [3173608,  3173697],  [3173938,  3174004],  [3174734, 3174810]]
1	93224529	93225234	PGCAROLIT00000011379	PGALLT00000096542	+	PgeneID:ENSMUST00000186725.1	ParentID:NA	LEVEL_2	PSSD	[[93224529,  93224614],  [93224650, 93225234]]
3	104661884	104662216	PGCAROLIT00000000909	PGALLT00000095618	-	PgeneID:ENSMUST00000200356.1	ParentID:NA	LEVEL_2	PSSD	[[104661884, 104662216]]
scaffold_11020	46825	47023	PGCAROLIT00000006721	PGALLT00000091176	+	PgeneID:ENSMUST00000184837.1	ParentID:ENSMUST00000020741	LEVEL_1	PSSD	[[46825, 47023]]
15	68254777	68254917	PGCAROLIT00000002101	PGALLT00000095381	+	PgeneID:ENSMUST00000188070.1	ParentID:NA	LEVEL_2	PSSD	[[68254777, 68254917]]
13	36082058	36082831	PGCAROLIT00000000417	PGALLT00000096484	+	PgeneID:ENSMUST00000120138.1	ParentID:ENSMUST00000020962	LEVEL_1	PSSD	[[36082058,  36082412],  [36082450, 36082831]]
6	35768099	35768371	PGCAROLIT00000005618	PGALLT00000096818	+	PgeneID:ENSMUST00000194700.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[35768099, 35768371]]
11	28368703	28369662	PGCAROLIT00000006321	PGALLT00000094564	-	PgeneID:ENSMUST00000182196.1	ParentID:ENSMUST00000184252	LEVEL_1	PSSD	[[28368703, 28369662]]
14	6383478	6383734	PGCAROLIT00000001203	PGALLT00000089848	-	PgeneID:ENSMUST00000118492.1	ParentID:ENSMUST00000179620	LEVEL_1	PSSD	[[6383478, 6383734]]
3	46587607	46587903	PGCAROLIT00000001632	PGALLT00000092487	-	PgeneID:ENSMUST00000194234.1	ParentID:ENSMUST00000044011	LEVEL_1	PSSD	[[46587607, 46587903]]
16	203832	204142	PGCAROLIT00000005588	PGALLT00000089370	+	PgeneID:ENSMUST00000121410.2	ParentID:ENSMUST00000188699	LEVEL_1	PSSD	[[203832, 204142]]
10	20070429	20088493	PGCAROLIT00000009538	PGALLT00000079795	+	PgeneID:ENSMUST00000122123.1	ParentID:ENSMUST00000071691	LEVEL_1	DUP	[[20070429,  20071502],  [20088350, 20088493]]
4	112563914	112573042	PGCAROLIT00000008816	PGALLT00000087690	-	PgeneID:ENSMUST00000119988.1	ParentID:NA	LEVEL_2	DUP	[[112563914,  112563988],  [112565273,  112565388],  [112566011,  112566108],  [112572910, 112573042]]
X	156601631	156602126	PGCAROLIT00000009200	PGALLT00000091226	+	PgeneID:ENSMUST00000122339.1	ParentID:ENSMUST00000035481	LEVEL_1	PSSD	[[156601631, 156602126]]
11	98698835	98699673	PGCAROLIT00000000735	PGALLT00000091741	-	PgeneID:ENSMUST00000120601.1	ParentID:ENSMUST00000033008	LEVEL_1	PSSD	[[98698835,  98699356],  [98699561, 98699673]]
16	74919790	74920284	PGCAROLIT00000005412	PGALLT00000095283	-	PgeneID:ENSMUST00000181937.1	ParentID:ENSMUST00000129847	LEVEL_1	PSSD	[[74919790, 74920284]]
1	146569621	146569909	PGCAROLIT00000002761	PGALLT00000089201	+	PgeneID:ENSMUST00000193803.1	ParentID:ENSMUST00000035983	LEVEL_1	PSSD	[[146569621, 146569909]]
2	69695692	69696449	PGCAROLIT00000003024	PGALLT00000088662	-	PgeneID:ENSMUST00000117183.1	ParentID:ENSMUST00000102696	LEVEL_1	PSSD	[[69695692, 69696449]]
3	67077327	67078532	PGCAROLIT00000001353	PGALLT00000094800	+	PgeneID:ENSMUST00000194185.1	ParentID:ENSMUST00000111962	LEVEL_1	PSSD	[[67077327, 67078532]]
9	119075510	119075796	PGCAROLIT00000009389	PGALLT00000089518	+	PgeneID:ENSMUST00000172274.1	ParentID:ENSMUST00000108365	LEVEL_1	PSSD	[[119075510, 119075796]]
X	57442982	57444427	PGCAROLIT00000001491	PGALLT00000096235	-	PgeneID:ENSMUST00000119069.1	ParentID:ENSMUST00000001724	LEVEL_1	PSSD	[[57442982,  57443112],  [57443319, 57444427]]
18	34278086	34278959	PGCAROLIT00000001641	PGALLT00000094980	+	PgeneID:ENSMUST00000195341.1	ParentID:ENSMUST00000192168	LEVEL_1	DUP	[[34278086,  34278154],  [34278297, 34278959]]
2	100450392	100450881	PGCAROLIT00000001483	PGALLT00000090561	+	PgeneID:ENSMUST00000119402.1	ParentID:ENSMUST00000025052	LEVEL_1	PSSD	[[100450392, 100450881]]
scaffold_13011_2220:43134_	16541	18676	PGCAROLIT00000001653	PGALLT00000093893	-	PgeneID:ENSMUST00000196881.1	ParentID:NA	LEVEL_2	DUP	[[16541,  16573],  [16926,  16990],  [17539,  17541],  [17613,  17761],  [18064,  18168],  [18598, 18676]]
3	30948466	30949306	PGCAROLIT00000000407	PGALLT00000090502	+	PgeneID:ENSMUST00000118219.1	ParentID:NA	LEVEL_2	PSSD	[[30948466,  30948539],  [30949201, 30949306]]
4	60286289	60286828	PGCAROLIT00000004374	PGALLT00000091428	+	PgeneID:ENSMUST00000119808.1	ParentID:NA	LEVEL_2	PSSD	[[60286289,  60286315],  [60286534, 60286828]]
scaffold_14448_0:29705_	6387	7280	PGCAROLIT00000008470	PGALLT00000094881	-	PgeneID:ENSMUST00000120434.1	ParentID:NA	LEVEL_2	DUP	[[6387, 7280]]
scaffold_23715	2125	3071	PGCAROLIT00000003194	PGALLT00000090151	-	PgeneID:ENSMUST00000098167.1	ParentID:NA	LEVEL_2	pseudogene	[[2125, 3071]]
scaffold_18698	8762	9723	PGCAROLIT00000010661	PGALLT00000094930	+	PgeneID:ENSMUST00000118640.1	ParentID:NA	LEVEL_2	DUP	[[8762, 9723]]
7	128741992	128742697	PGCAROLIT00000008856	PGALLT00000092364	+	PgeneID:ENSMUST00000205464.1	ParentID:ENSMUST00000071006	LEVEL_1	PSSD	[[128741992, 128742697]]
11	100463097	100463527	PGCAROLIT00000004579	PGALLT00000095439	+	PgeneID:ENSMUST00000120955.1	ParentID:ENSMUST00000065745	LEVEL_1	PSSD	[[100463097, 100463527]]
5	64420944	64421172	PGCAROLIT00000010354	PGALLT00000095231	-	PgeneID:ENSMUST00000197380.1	ParentID:NA	LEVEL_2	transcribed_PSSD	[[64420944, 64421172]]
X	45903567	45915317	PGCAROLIT00000006155	PGALLT00000093523	-	PgeneID:ENSMUST00000193588.1	ParentID:NA	LEVEL_2	PSSD	[[45903567,  45903593],  [45905309,  45905471],  [45913238,  45913454],  [45915001,  45915076],  [45915166, 45915317]]
13	29015182	29015613	PGCAROLIT00000010119	PGALLT00000094908	-	PgeneID:ENSMUST00000117761.1	ParentID:ENSMUST00000185771	LEVEL_1	PSSD	[[29015182, 29015613]]
6	36743649	36744142	PGCAROLIT00000004944	PGALLT00000094784	-	PgeneID:ENSMUST00000204685.1	ParentID:ENSMUST00000021158	LEVEL_1	transcribed_PSSD	[[36743649, 36744142]]
X	82636624	82637654	PGCAROLIT00000009709	PGALLT00000095813	-	PgeneID:ENSMUST00000118888.1	ParentID:ENSMUST00000125172	LEVEL_1	PSSD	[[82636624, 82637654]]
6	3536197	3537158	PGCAROLIT00000010105	PGALLT00000078951	+	PgeneID:ENSMUST00000183839.1	ParentID:ENSMUST00000062893	LEVEL_1	PSSD	[[3536197, 3537158]]
9	36564185	36565087	PGCAROLIT00000002891	PGALLT00000089177	-	PgeneID:ENSMUST00000055796.5	ParentID:ENSMUST00000062545	LEVEL_1	pseudogene	[[36564185, 36565087]]
12	7730129	7731898	PGCAROLIT00000001095	PGALLT00000085943	-	PgeneID:ENSMUST00000117530.1	ParentID:NA	LEVEL_2	DUP	[[7730129,  7731135],  [7731802, 7731898]]
11	110200575	110201726	PGCAROLIT00000008012	PGALLT00000093135	+	PgeneID:ENSMUST00000122121.1	ParentID:ENSMUST00000020099	LEVEL_1	PSSD	[[110200575,  110200673],  [110200905, 110201726]]
2	125819816	125820179	PGCAROLIT00000005430	PGALLT00000092057	-	PgeneID:ENSMUST00000119075.1	ParentID:ENSMUST00000013759	LEVEL_1	PSSD	[[125819816, 125820179]]
11	27764269	27765068	PGCAROLIT00000003282	PGALLT00000093129	+	PgeneID:ENSMUST00000121140.1	ParentID:ENSMUST00000152407	LEVEL_1	PSSD	[[27764269, 27765068]]
5	110308072	110321309	PGCAROLIT00000000314	PGALLT00000094143	+	PgeneID:ENSMUST00000117937.1	ParentID:NA	LEVEL_2	PSSD	[[110308072,  110308247],  [110314798,  110315040],  [110315192,  110315329],  [110319522,  110319695],  [110320252,  110320361],  [110320445,  110320552],  [110321146, 110321309]]
5	28729356	28729782	PGCAROLIT00000002060	PGALLT00000095921	+	PgeneID:ENSMUST00000202183.1	ParentID:ENSMUST00000043675	LEVEL_1	PSSD	[[28729356, 28729782]]
1	161196266	161196563	PGCAROLIT00000002524	PGALLT00000088041	+	PgeneID:ENSMUST00000194254.1	ParentID:ENSMUST00000112384	LEVEL_1	PSSD	[[161196266, 161196563]]
10	20066285	20066987	PGCAROLIT00000009723	PGALLT00000090343	+	PgeneID:ENSMUST00000119318.1	ParentID:ENSMUST00000103147	LEVEL_1	PSSD	[[20066285, 20066987]]
1	38974071	38974566	PGCAROLIT00000010933	PGALLT00000087779	-	PgeneID:ENSMUST00000186385.1	ParentID:ENSMUST00000030051	LEVEL_1	PSSD	[[38974071, 38974566]]
3	138018535	138019160	PGCAROLIT00000006914	PGALLT00000087968	+	PgeneID:ENSMUST00000161990.2	ParentID:ENSMUST00000033805	LEVEL_1	PSSD	[[138018535, 138019160]]
6	37331905	37332251	PGCAROLIT00000000823	PGALLT00000088654	+	PgeneID:ENSMUST00000205206.1	ParentID:ENSMUST00000053647	LEVEL_1	DUP	[[37331905, 37332251]]
X	31725934	31727609	PGCAROLIT00000008696	PGALLT00000092960	+	PgeneID:ENSMUST00000122131.1	ParentID:ENSMUST00000089246	LEVEL_1	DUP	[[31725934,  31726543],  [31727560, 31727609]]
11	6867091	6868011	PGCAROLIT00000007656	PGALLT00000093956	+	PgeneID:ENSMUST00000117538.1	ParentID:ENSMUST00000182634	LEVEL_1	PSSD	[[6867091, 6868011]]
2	930176	931063	PGCAROLIT00000002197	PGALLT00000090895	-	PgeneID:ENSMUST00000121150.1	ParentID:ENSMUST00000070116	LEVEL_1	PSSD	[[930176, 931063]]
4	104198550	104199609	PGCAROLIT00000001474	PGALLT00000088457	+	PgeneID:ENSMUST00000119622.1	ParentID:ENSMUST00000162885	LEVEL_1	DUP	[[104198550,  104198893],  [104199346, 104199609]]
2	41240312	41240745	PGCAROLIT00000007014	PGALLT00000088590	+	PgeneID:ENSMUST00000118312.1	ParentID:ENSMUST00000032597	LEVEL_1	PSSD	[[41240312, 41240745]]
3	60514794	60515115	PGCAROLIT00000003955	PGALLT00000092347	+	PgeneID:ENSMUST00000196891.1	ParentID:ENSMUST00000132846	LEVEL_1	PSSD	[[60514794, 60515115]]
6	130031779	130032712	PGCAROLIT00000000135	PGALLT00000081597	-	PgeneID:ENSMUST00000203794.1	ParentID:ENSMUST00000067539	LEVEL_1	DUP	[[130031779,  130032281],  [130032315, 130032712]]
4	38391080	38391680	PGCAROLIT00000009147	PGALLT00000094724	-	PgeneID:ENSMUST00000118668.1	ParentID:NA	LEVEL_2	PSSD	[[38391080,  38391432],  [38391612, 38391680]]
X	106053226	106054332	PGCAROLIT00000003978	PGALLT00000090764	+	PgeneID:ENSMUST00000118721.1	ParentID:ENSMUST00000023598	LEVEL_1	PSSD	[[106053226, 106054332]]
1	101050440	101050763	PGCAROLIT00000011705	PGALLT00000095128	-	PgeneID:ENSMUST00000185509.1	ParentID:ENSMUST00000086701	LEVEL_1	PSSD	[[101050440, 101050763]]
9	115724282	115724990	PGCAROLIT00000005339	PGALLT00000091905	+	PgeneID:ENSMUST00000121130.1	ParentID:ENSMUST00000017548	LEVEL_1	PSSD	[[115724282, 115724990]]
X	58059928	58060195	PGCAROLIT00000006886	PGALLT00000087754	-	PgeneID:ENSMUST00000121254.1	ParentID:ENSMUST00000130216	LEVEL_1	PSSD	[[58059928, 58060195]]
6	112902709	112903302	PGCAROLIT00000001457	PGALLT00000088048	+	PgeneID:ENSMUST00000166613.1	ParentID:ENSMUST00000056549	LEVEL_1	transcribed_DUP	[[112902709,  112902838],  [112902923,  112903152],  [112903192, 112903302]]
2	131409249	131410321	PGCAROLIT00000009396	PGALLT00000089165	-	PgeneID:ENSMUST00000119340.1	ParentID:ENSMUST00000109940	LEVEL_1	PSSD	[[131409249, 131410321]]
