#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
CHR_MG190_MG3751_PATCH	70694211	70694367	-	ENSMUSP00000082978.3	0.41	1	0	1	0	6e-10	0.692	0	FRAG
CHR_MG190_MG3751_PATCH	70694377	70694527	-	ENSMUSP00000114278.1	0.36	1	0	1	0	6e-15	0.840	0	FRAG
CHR_MG190_MG3751_PATCH	70694910	70695014	-	ENSMUSP00000082175.3	0.51	1	0	0	1	3e-07	0.824	0	FRAG
CHR_MG190_MG3751_PATCH	70696308	70696454	-	ENSMUSP00000082978.3	0.38	1	0	0	0	1e-09	0.694	0	FRAG
CHR_MG190_MG3751_PATCH	70706311	70706421	-	ENSMUSP00000082175.3	0.54	1	0	0	1	8e-09	0.833	3	FRAG
CHR_MG190_MG3751_PATCH	70706707	70706817	-	ENSMUSP00000082175.3	0.54	1	0	0	2	2e-08	0.806	0	FRAG
CHR_MG190_MG3751_PATCH	70719049	70719144	-	ENSMUSP00000114710.1	0.13	0	2	0	0	3e-08	0.765	3	FRAG
CHR_MG190_MG3751_PATCH	70722951	70723037	-	ENSMUSP00000105567.1	0.85	0	0	0	1	4e-09	0.862	0	FRAG
CHR_MG190_MG3751_PATCH	70725548	70725789	-	ENSMUSP00000082175.3	0.99	16	0	1	2	9e-10	0.556	3	FRAG
CHR_MG190_MG3751_PATCH	70730540	70730634	-	ENSMUSP00000105567.1	0.97	1	1	1	0	1e-08	0.909	0	FRAG
CHR_MG190_MG3751_PATCH	70735917	70736033	-	ENSMUSP00000114048.1	0.53	0	0	0	0	2e-10	0.821	0	FRAG
CHR_MG190_MG3751_PATCH	70736775	70736903	-	ENSMUSP00000073455.5	0.18	0	0	0	1	3e-12	0.814	3	FRAG
CHR_MG190_MG3751_PATCH	70739078	70739218	-	ENSMUSP00000114278.1	0.34	0	0	0	0	5e-12	0.660	0	FRAG
CHR_MG190_MG3751_PATCH	70739467	70739739	-	ENSMUSP00000064226.8	0.16	0	0	0	1	3e-37	0.835	0	FRAG
CHR_MG190_MG3751_PATCH	70765293	70765403	-	ENSMUSP00000082175.3	0.52	2	0	0	2	2e-08	0.833	0	FRAG
CHR_MG190_MG3751_PATCH	70782244	70782417	-	ENSMUSP00000082978.3	0.46	0	0	0	0	4e-16	0.810	0	FRAG
CHR_MG190_MG3751_PATCH	70794962	70795066	-	ENSMUSP00000082175.3	0.51	1	0	0	1	3e-09	0.912	3	FRAG
CHR_MG190_MG3751_PATCH	70799077	70799202	-	ENSMUSP00000114048.1	0.58	0	0	0	0	1e-11	0.810	3	FRAG
CHR_MG190_MG3751_PATCH	70802790	70802927	-	ENSMUSP00000114048.1	0.62	1	0	0	1	4e-11	0.717	3	FRAG
CHR_MG190_MG3751_PATCH	70805148	70805390	-	ENSMUSP00000082978.3	0.60	9	0	2	1	2e-13	0.568	0	FRAG
CHR_MG190_MG3751_PATCH	70811824	70811946	-	ENSMUSP00000114048.1	0.56	0	0	0	0	1e-09	0.756	3	FRAG
CHR_MG190_MG3751_PATCH	70815255	70815404	-	ENSMUSP00000114278.1	0.36	0	0	0	0	7e-19	0.820	0	FRAG
CHR_MG190_MG3751_PATCH	70818368	70818505	-	ENSMUSP00000114048.1	0.62	1	0	0	1	3e-07	0.717	3	FRAG
CHR_MG190_MG3751_PATCH	70822563	70822667	-	ENSMUSP00000082175.3	0.51	1	0	0	1	8e-09	0.912	0	FRAG
CHR_MG190_MG3751_PATCH	70830127	70830231	-	ENSMUSP00000082175.3	0.51	1	0	0	3	3e-07	0.853	3	FRAG
CHR_MG190_MG3751_PATCH	70837873	70838043	-	ENSMUSP00000082978.3	0.45	0	0	0	0	1e-14	0.737	0	FRAG
CHR_MG190_MG3751_PATCH	70838228	70838329	-	ENSMUSP00000105567.1	1.00	0	0	0	2	8e-12	0.882	0	PSSD
CHR_MG190_MG3751_PATCH	70840588	70840710	-	ENSMUSP00000114048.1	0.60	0	3	0	0	8e-09	0.727	0	FRAG
CHR_MG153_PATCH	4016632	4016807	-	ENSMUSP00000114278.1	0.42	1	0	1	3	5e-17	0.712	0	FRAG
CHR_MG153_PATCH	4020208	4020312	-	ENSMUSP00000082175.3	0.51	1	0	0	1	7e-08	0.824	3	FRAG
CHR_MG153_PATCH	4021990	4022109	-	ENSMUSP00000114048.1	0.55	0	0	0	0	7e-08	0.725	3	FRAG
CHR_MG153_PATCH	4026471	4026581	-	ENSMUSP00000082175.3	0.49	4	0	0	1	6e-07	0.778	0	FRAG
CHR_MG153_PATCH	4031230	4031334	-	ENSMUSP00000082175.3	0.51	1	0	0	1	1e-08	0.912	3	FRAG
CHR_MG153_PATCH	4032077	4032181	-	ENSMUSP00000082175.3	0.51	1	0	0	1	8e-09	0.882	1	FRAG
CHR_MG153_PATCH	4032416	4032550	-	ENSMUSP00000114278.1	0.32	0	0	0	1	2e-17	0.867	0	FRAG
CHR_MG153_PATCH	4039808	4039912	-	ENSMUSP00000082175.3	0.51	1	0	0	1	2e-08	0.853	3	FRAG
CHR_MG153_PATCH	4043408	4043539	-	ENSMUSP00000073455.5	0.19	0	0	0	0	4e-17	0.955	3	FRAG
CHR_MG153_PATCH	4048985	4053908	-	ENSMUSP00000122084.1	0.23	3	1	3	1	8e-15	0.75	0	DUP
CHR_MG153_PATCH	4054152	4054282	-	ENSMUSP00000114048.1	0.60	2	1	1	0	1e-09	0.756	0	FRAG
CHR_MG153_PATCH	4060038	4060139	-	ENSMUSP00000105567.1	1.00	0	0	0	1	1e-13	0.971	0	PSSD
CHR_MG153_PATCH	4068477	4068572	-	ENSMUSP00000082175.3	0.46	1	0	0	1	3e-07	0.839	0	FRAG
CHR_MG153_PATCH	4069700	4069825	-	ENSMUSP00000139241.1	0.57	3	0	0	0	4e-08	0.738	0	FRAG
CHR_MG153_PATCH	4076855	4077052	-	ENSMUSP00000082978.3	0.52	0	0	0	0	1e-14	0.712	0	FRAG
CHR_MG153_PATCH	4077178	4077279	-	ENSMUSP00000105567.1	1.00	0	0	0	0	2e-12	0.882	0	PSSD
CHR_MG153_PATCH	4085929	4086018	-	ENSMUSP00000105567.1	0.94	0	2	0	0	8e-07	0.750	0	FRAG
CHR_MG153_PATCH	4087774	4087923	-	ENSMUSP00000114278.1	0.36	0	0	0	0	4e-18	0.800	0	FRAG
CHR_MG153_PATCH	4090157	4090261	-	ENSMUSP00000082175.3	0.51	1	0	0	1	6e-09	0.853	3	FRAG
CHR_MG153_PATCH	4092102	4092266	+	ENSMUSP00000116236.1	0.31	4	0	2	1	5e-10	0.764	0	FRAG
CHR_MG153_PATCH	4095560	4095709	-	ENSMUSP00000122084.1	0.20	0	2	0	0	6e-15	0.731	1	FRAG
CHR_MG153_PATCH	4108987	4109091	-	ENSMUSP00000082175.3	0.51	1	0	0	2	2e-07	0.853	3	FRAG
CHR_MG153_PATCH	4121849	4121962	-	ENSMUSP00000082175.3	0.55	1	0	0	3	3e-08	0.838	0	FRAG
CHR_MG153_PATCH	4122221	4122379	-	ENSMUSP00000114278.1	0.38	0	0	0	2	1e-14	0.698	0	FRAG
CHR_MG153_PATCH	4123863	4124000	-	ENSMUSP00000082978.3	0.37	0	1	0	0	7e-16	0.830	0	FRAG
CHR_MG153_PATCH	4133821	4133934	-	ENSMUSP00000114048.1	0.52	0	0	0	0	3e-10	0.789	3	FRAG
CHR_MG153_PATCH	4160365	4160526	-	ENSMUSP00000082978.3	0.43	0	0	0	0	5e-14	0.796	0	FRAG
CHR_MG153_PATCH	4160549	4160650	-	ENSMUSP00000105567.1	1.00	0	0	0	1	1e-12	0.912	0	PSSD
CHR_MG153_PATCH	4167328	4167574	-	ENSMUSP00000082978.3	0.67	2	1	2	2	7e-13	0.583	0	FRAG
CHR_MG153_PATCH	4168896	4168976	-	ENSMUSP00000105567.1	0.79	0	0	0	0	8e-07	0.852	0	FRAG
CHR_MG153_PATCH	4168980	4169130	-	ENSMUSP00000114278.1	0.36	1	0	1	1	6e-12	0.780	0	FRAG
CHR_MG153_PATCH	4178084	4178191	-	ENSMUSP00000082175.3	0.52	1	0	0	1	8e-09	0.914	3	FRAG
CHR_MG153_PATCH	4179840	4179944	-	ENSMUSP00000082175.3	0.51	1	0	0	1	4e-08	0.853	0	FRAG
CHR_MG153_PATCH	4181513	4181674	-	ENSMUSP00000082978.3	0.40	3	0	0	0	4e-12	0.704	0	FRAG
CHR_MG153_PATCH	4189621	4189811	-	ENSMUSP00000082175.3	0.94	3	1	1	1	5e-08	0.547	3	FRAG
CHR_MG153_PATCH	4190035	4190230	-	ENSMUSP00000082978.3	0.53	1	2	1	0	5e-14	0.716	0	FRAG
CHR_MG153_PATCH	4197817	4197924	-	ENSMUSP00000082175.3	0.52	1	0	0	0	1e-08	0.806	0	FRAG
CHR_MG153_PATCH	4205970	4206053	-	ENSMUSP00000114386.1	0.23	0	2	0	0	8e-07	0.800	0	FRAG
CHR_MG153_PATCH	4211149	4211307	-	ENSMUSP00000082978.3	0.46	0	5	0	0	2e-13	0.793	0	FRAG
CHR_MG153_PATCH	4225567	4225671	-	ENSMUSP00000082175.3	0.51	1	0	0	1	1e-08	0.882	3	FRAG
CHR_MG153_PATCH	4226489	4226641	-	ENSMUSP00000114278.1	0.37	0	0	0	0	6e-20	0.843	0	FRAG
CHR_MG153_PATCH	4237725	4255999	-	ENSMUSP00000122084.1	0.17	2	1	2	0	4e-13	0.77	3	DUP
CHR_MG153_PATCH	4237953	4238042	-	ENSMUSP00000114386.1	0.23	0	0	0	0	2e-07	0.867	3	FRAG
CHR_MG153_PATCH	4238424	4238558	-	ENSMUSP00000114048.1	0.59	2	0	0	0	5e-12	0.733	0	FRAG
CHR_MG153_PATCH	4240887	4240988	-	ENSMUSP00000105567.1	1.00	0	0	0	2	2e-10	0.882	0	FRAG
CHR_MG153_PATCH	4243426	4243574	-	ENSMUSP00000114278.1	0.36	1	0	1	1	9e-11	0.680	0	FRAG
CHR_MG153_PATCH	4245928	4246029	-	ENSMUSP00000105567.1	1.00	0	0	0	1	1e-13	0.971	0	PSSD
CHR_MG153_PATCH	4246968	4247168	+	ENSMUSP00000072472.6	0.06	2	1	2	2	6e-09	0.574	3	FRAG
CHR_MG153_PATCH	4247475	4247601	-	ENSMUSP00000073455.5	0.19	1	2	1	0	7e-12	0.909	1	FRAG
CHR_MG153_PATCH	4250553	4250648	-	ENSMUSP00000105567.1	0.94	0	0	0	2	2e-10	0.875	0	FRAG
CHR_MG153_PATCH	4250700	4250807	-	ENSMUSP00000082175.3	0.52	1	0	0	1	4e-09	0.857	0	FRAG
CHR_MG153_PATCH	4250868	4251032	-	ENSMUSP00000072472.6	0.05	0	0	0	0	6e-07	0.545	0	FRAG
CHR_MG153_PATCH	4251497	4251625	-	ENSMUSP00000114048.1	0.59	0	0	0	0	4e-10	0.721	3	FRAG
CHR_MG153_PATCH	4252088	4252219	-	ENSMUSP00000114048.1	0.60	0	0	0	0	8e-09	0.705	3	FRAG
CHR_MG153_PATCH	4258852	4258959	-	ENSMUSP00000105567.1	1.00	2	0	0	1	2e-11	0.861	0	PSSD
CHR_MG153_PATCH	4259354	4259479	-	ENSMUSP00000114048.1	0.58	0	0	0	0	4e-09	0.714	3	FRAG
CHR_MG184_PATCH	72297689	72297848	-	ENSMUSP00000114278.1	0.38	1	0	1	1	6e-15	0.792	0	FRAG
CHR_MG184_PATCH	72307999	72317091	-	ENSMUSP00000122084.1	0.23	2	0	2	0	6e-16	0.71	0	DUP
CHR_MG184_PATCH	72322676	72322821	-	ENSMUSP00000122084.1	0.18	1	0	1	1	8e-13	0.714	0	FRAG
CHR_MG184_PATCH	72323474	72323716	-	ENSMUSP00000114278.1	0.63	0	7	0	3	2e-12	0.489	0	FRAG
CHR_MG184_PATCH	72324673	72324831	-	ENSMUSP00000082978.3	0.45	0	4	0	1	2e-12	0.719	0	FRAG
CHR_MG184_PATCH	72324991	72325158	-	ENSMUSP00000114278.1	0.40	0	0	0	1	4e-18	0.714	0	FRAG
CHR_MG184_PATCH	72326885	72327010	-	ENSMUSP00000114048.1	0.58	0	0	0	0	1e-13	0.810	3	FRAG
CHR_MG184_PATCH	72330061	72330229	-	ENSMUSP00000082978.3	0.44	2	0	1	0	5e-12	0.804	0	FRAG
CHR_MG184_PATCH	72331722	72331817	-	ENSMUSP00000105567.1	0.94	0	0	0	3	4e-09	0.906	0	FRAG
CHR_MG184_PATCH	72336604	72336747	-	ENSMUSP00000082978.3	0.38	0	0	0	1	1e-13	0.792	0	FRAG
CHR_MG184_PATCH	72365772	72381040	-	ENSMUSP00000114278.1	0.37	2	0	2	0	2e-15	0.78	0	DUP
CHR_MG184_PATCH	72365948	72366133	-	ENSMUSP00000082978.3	0.50	2	1	2	1	2e-13	0.730	0	FRAG
CHR_MG184_PATCH	72377421	72377683	-	ENSMUSP00000082978.3	0.67	4	0	1	4	4e-13	0.557	3	FRAG
CHR_MG184_PATCH	72386367	72386471	-	ENSMUSP00000082175.3	0.51	1	0	0	1	5e-08	0.853	3	FRAG
CHR_MG184_PATCH	72386955	72387311	-	ENSMUSP00000082978.3	0.89	7	0	0	2	6e-17	0.551	0	PSSD
CHR_MG184_PATCH	72391882	72391986	-	ENSMUSP00000082175.3	0.51	1	0	0	1	8e-09	0.882	3	FRAG
CHR_MG184_PATCH	72392618	72392809	-	ENSMUSP00000082978.3	0.49	2	0	0	0	5e-14	0.688	0	FRAG
CHR_MG184_PATCH	72396514	72396665	-	ENSMUSP00000114278.1	0.36	2	0	2	0	6e-10	0.820	3	FRAG
CHR_MG184_PATCH	72397487	72397588	-	ENSMUSP00000082175.3	0.49	1	0	0	1	3e-09	0.939	3	FRAG
CHR_MG184_PATCH	72400527	72400675	-	ENSMUSP00000114278.1	0.36	1	0	1	0	2e-11	0.740	0	FRAG
CHR_MG184_PATCH	72400781	72400978	-	ENSMUSP00000083876.2	0.61	0	0	0	0	4e-14	0.697	0	FRAG
CHR_MG184_PATCH	72402452	72402636	-	ENSMUSP00000082175.3	0.84	7	0	1	2	9e-08	0.590	3	FRAG
CHR_MG184_PATCH	72404716	72404948	-	ENSMUSP00000082175.3	0.97	14	0	1	3	2e-07	0.571	3	FRAG
CHR_MG184_PATCH	72407068	72407172	-	ENSMUSP00000082175.3	0.51	1	0	0	1	8e-09	0.912	3	FRAG
CHR_MG184_PATCH	72408569	72408721	-	ENSMUSP00000114278.1	0.37	0	0	0	0	9e-19	0.804	0	FRAG
CHR_MG184_PATCH	72409916	72410020	-	ENSMUSP00000082175.3	0.51	1	0	0	1	6e-09	0.882	3	FRAG
CHR_MG184_PATCH	72410424	72410594	-	ENSMUSP00000082978.3	0.44	1	0	0	0	2e-12	0.737	0	FRAG
CHR_MG184_PATCH	72412015	72412431	-	ENSMUSP00000064226.8	0.23	5	0	0	0	5e-58	0.835	0	FRAG
CHR_MG184_PATCH	72412578	72412775	-	ENSMUSP00000148507.1	0.03	2	0	2	0	1e-11	0.833	0	FRAG
CHR_MG184_PATCH	72412812	72413030	-	ENSMUSP00000083876.2	0.66	2	0	0	0	1e-12	0.644	0	FRAG
CHR_MG184_PATCH	72413292	72413441	-	ENSMUSP00000114278.1	0.36	0	0	0	0	1e-16	0.780	0	FRAG
CHR_MG184_PATCH	72413517	72413642	-	ENSMUSP00000114048.1	0.58	0	0	0	0	2e-09	0.714	0	FRAG
CHR_MG184_PATCH	72421249	72421347	-	ENSMUSP00000082175.3	0.48	1	0	0	1	4e-08	0.906	2	FRAG
CHR_MG184_PATCH	72424709	72424843	-	ENSMUSP00000114048.1	0.67	0	4	0	0	3e-07	0.633	0	FRAG
CHR_MG184_PATCH	72441980	72442144	-	ENSMUSP00000082978.3	0.44	0	0	0	2	3e-16	0.818	0	FRAG
CHR_MG184_PATCH	72442549	72442641	-	ENSMUSP00000105567.1	0.91	0	0	0	0	9e-11	0.871	0	PSSD
CHR_MG184_PATCH	72442752	72442964	-	ENSMUSP00000082978.3	0.57	0	1	0	0	2e-15	0.792	0	FRAG
CHR_MG184_PATCH	72444503	72444644	-	ENSMUSP00000082978.3	0.37	1	0	1	0	7e-08	0.745	0	FRAG
CHR_MG184_PATCH	72451183	72451383	-	ENSMUSP00000083876.2	0.62	0	0	0	0	2e-09	0.627	0	FRAG
CHR_MG191_PATCH	90854028	90854187	-	ENSMUSP00000114278.1	0.38	1	0	1	0	8e-14	0.774	0	FRAG
CHR_MG191_PATCH	90857989	90858093	-	ENSMUSP00000082175.3	0.51	1	0	0	1	4e-07	0.824	2	FRAG
CHR_MG191_PATCH	90858185	90858322	-	ENSMUSP00000114048.1	0.63	0	0	0	1	3e-11	0.717	0	FRAG
CHR_MG191_PATCH	90858793	90858927	-	ENSMUSP00000114048.1	0.62	0	0	0	1	3e-09	0.667	1	FRAG
CHR_MG191_PATCH	90862587	90862697	-	ENSMUSP00000082175.3	0.54	1	0	0	2	3e-07	0.806	2	FRAG
CHR_MG191_PATCH	90863347	90863475	-	ENSMUSP00000114048.1	0.59	0	0	0	1	6e-10	0.744	3	FRAG
CHR_MG191_PATCH	90867957	90868106	-	ENSMUSP00000114278.1	0.36	0	0	0	0	6e-17	0.780	0	FRAG
CHR_MG191_PATCH	90869460	90869567	-	ENSMUSP00000082175.3	0.52	1	0	0	1	3e-07	0.829	0	FRAG
CHR_MG191_PATCH	90882980	90883144	-	ENSMUSP00000114278.1	0.40	0	0	0	1	4e-16	0.727	0	FRAG
CHR_MG191_PATCH	90888597	90888707	-	ENSMUSP00000082175.3	0.54	1	0	0	2	6e-09	0.806	0	FRAG
CHR_MG191_PATCH	90888825	90900600	-	ENSMUSP00000073455.5	0.17	1	0	1	0	1e-15	0.83	3	DUP
CHR_MG191_PATCH	90891423	90891513	-	ENSMUSP00000114386.1	0.23	1	0	1	0	3e-07	0.933	3	FRAG
CHR_MG191_PATCH	90892890	90893099	-	ENSMUSP00000082978.3	0.60	0	5	0	0	5e-16	0.720	0	FRAG
CHR_MG191_PATCH	90894306	90894407	-	ENSMUSP00000105567.1	1.00	0	0	0	2	7e-10	0.853	0	FRAG
CHR_MG191_PATCH	90894488	90894571	-	ENSMUSP00000105567.1	0.82	0	0	0	0	8e-07	0.714	0	FRAG
CHR_MG191_PATCH	90899540	90899647	-	ENSMUSP00000082175.3	0.52	1	0	0	1	2e-08	0.857	0	FRAG
CHR_MG191_PATCH	90899893	90899994	-	ENSMUSP00000105567.1	1.00	0	0	0	1	2e-13	0.941	0	PSSD
CHR_MG191_PATCH	90900094	90900192	-	ENSMUSP00000082175.3	0.48	1	0	0	1	8e-07	0.906	0	FRAG
CHR_MG191_PATCH	90908417	90908515	-	ENSMUSP00000114386.1	0.26	0	0	0	0	3e-08	0.788	3	FRAG
CHR_MG191_PATCH	90914710	90914868	-	ENSMUSP00000114278.1	0.38	0	0	0	1	9e-16	0.717	0	FRAG
CHR_MG191_PATCH	90919070	90919219	-	ENSMUSP00000114278.1	0.37	0	2	0	3	1e-09	0.615	3	FRAG
CHR_MG191_PATCH	90924670	90924795	-	ENSMUSP00000072472.6	0.04	0	0	0	0	9e-08	0.690	0	FRAG
CHR_MG191_PATCH	90930985	90931122	-	ENSMUSP00000122084.1	0.17	0	0	0	0	1e-14	0.804	0	FRAG
CHR_MG191_PATCH	90931265	90931444	-	ENSMUSP00000082978.3	0.50	0	3	0	1	4e-14	0.730	0	FRAG
CHR_MG191_PATCH	90932899	90933006	-	ENSMUSP00000082175.3	0.52	1	0	0	2	3e-07	0.829	0	FRAG
CHR_MG191_PATCH	90935537	90935748	-	ENSMUSP00000082978.3	0.56	1	0	1	1	8e-12	0.634	0	FRAG
CHR_MG191_PATCH	90936129	90936239	-	ENSMUSP00000097593.3	0.32	0	0	0	0	3e-07	0.622	0	FRAG
CHR_MG191_PATCH	90948026	90948151	-	ENSMUSP00000114048.1	0.58	0	0	0	1	6e-10	0.738	3	FRAG
CHR_MG191_PATCH	90948466	90948588	-	ENSMUSP00000114048.1	0.56	0	0	0	0	1e-11	0.780	3	FRAG
CHR_MG191_PATCH	90949051	90949164	-	ENSMUSP00000121625.1	0.24	0	0	0	0	8e-07	0.658	0	FRAG
CHR_MG191_PATCH	90953914	90954018	-	ENSMUSP00000082175.3	0.51	1	0	0	2	4e-08	0.824	2	FRAG
CHR_MG191_PATCH	90963448	90963564	-	ENSMUSP00000114048.1	0.53	0	0	0	0	1e-07	0.718	3	FRAG
CHR_MG191_PATCH	90964068	90973858	-	ENSMUSP00000073455.5	0.18	1	0	1	2	1e-16	0.89	1	DUP
CHR_MG191_PATCH	90964209	90964374	-	ENSMUSP00000082978.3	0.44	3	3	1	1	5e-14	0.759	0	FRAG
CHR_MG191_PATCH	90969304	90969462	-	ENSMUSP00000114710.1	0.21	0	3	0	3	5e-09	0.625	3	FRAG
CHR_MG191_PATCH	90972891	90973037	-	ENSMUSP00000114278.1	0.33	3	0	0	1	3e-08	0.571	1	FRAG
CHR_MG191_PATCH	90973322	90973492	-	ENSMUSP00000082978.3	0.45	0	0	0	2	2e-12	0.737	0	FRAG
CHR_MG191_PATCH	90974116	90974217	-	ENSMUSP00000105567.1	1.00	0	0	0	1	3e-07	0.676	0	FRAG
CHR_MG191_PATCH	90979269	90979373	-	ENSMUSP00000082175.3	0.51	1	0	0	1	2e-08	0.912	3	FRAG
CHR_MG191_PATCH	90979508	90979636	-	ENSMUSP00000073455.5	0.18	0	0	0	0	5e-16	0.907	1	FRAG
CHR_MG191_PATCH	90981462	90981593	-	ENSMUSP00000082978.3	0.35	0	0	0	1	1e-08	0.750	0	FRAG
CHR_MG191_PATCH	90982504	90982632	-	ENSMUSP00000139241.1	0.66	0	2	0	0	2e-09	0.778	3	FRAG
CHR_MG191_PATCH	90984071	90984196	-	ENSMUSP00000114278.1	0.30	0	0	0	1	1e-08	0.619	0	FRAG
CHR_MG191_PATCH	90997834	90997995	-	ENSMUSP00000082978.3	0.45	0	3	0	0	2e-15	0.807	3	FRAG
CHR_MG191_PATCH	91007248	91007398	-	ENSMUSP00000114278.1	0.36	1	0	1	0	1e-14	0.840	0	FRAG
CHR_MG191_PATCH	91021290	91021400	-	ENSMUSP00000082175.3	0.54	1	0	0	1	4e-10	0.833	0	FRAG
CHR_MG191_PATCH	91022061	91022213	-	ENSMUSP00000114278.1	0.37	0	0	0	1	1e-18	0.824	3	FRAG
CHR_MG191_PATCH	91022274	91022381	-	ENSMUSP00000099217.3	0.95	0	1	0	0	3e-10	0.892	0	FRAG
CHR_MG191_PATCH	91022766	91022855	-	ENSMUSP00000114386.1	0.23	0	0	0	0	2e-08	0.867	0	FRAG
CHR_MG191_PATCH	91025992	91026144	-	ENSMUSP00000114278.1	0.37	2	0	2	0	9e-16	0.824	0	FRAG
CHR_MG191_PATCH	91028987	91029082	-	ENSMUSP00000114278.1	0.23	0	0	0	1	2e-07	0.688	3	FRAG
CHR_MG191_PATCH	91030782	91031123	-	ENSMUSP00000008036.7	1.00	0	0	0	0	1e-25	0.904	0	PSSD
CHR_MG191_PATCH	91033594	91033701	-	ENSMUSP00000082175.3	0.52	1	0	0	1	3e-09	0.914	0	FRAG
CHR_MG191_PATCH	91038154	91038315	-	ENSMUSP00000082978.3	0.43	0	0	0	0	1e-13	0.722	0	FRAG
CHR_MG191_PATCH	91038637	91038744	-	ENSMUSP00000082175.3	0.52	1	0	0	1	4e-08	0.886	3	FRAG
CHR_MG191_PATCH	91039276	91039443	-	ENSMUSP00000116236.1	0.31	4	0	0	2	1e-07	0.589	0	FRAG
CHR_MG3251_PATCH	138935284	138935412	-	ENSMUSP00000114048.1	0.59	0	0	0	0	2e-13	0.837	3	FRAG
CHR_MG3251_PATCH	138938739	138938903	-	ENSMUSP00000082978.3	0.44	0	0	0	0	2e-11	0.673	0	FRAG
CHR_MG3251_PATCH	138946434	138946544	-	ENSMUSP00000082175.3	0.54	1	0	0	2	7e-08	0.833	3	FRAG
CHR_MG3251_PATCH	138954929	138955075	-	ENSMUSP00000082978.3	0.40	1	2	0	1	4e-07	0.608	0	FRAG
CHR_MG3251_PATCH	138955511	138955621	-	ENSMUSP00000082175.3	0.54	1	0	0	1	5e-08	0.750	3	FRAG
CHR_MG3251_PATCH	138958138	138970112	-	ENSMUSP00000122084.1	0.17	0	2	0	1	1e-09	0.71	0	FRAG
