#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
5	44480651	44480981	PGPAHARIT00000005053	PGALLT00000094978	-	PgeneID:ENSMUST00000189785.1	ParentID:ENSMUST00000035105	LEVEL_1	PSSD	[[44480651, 44480981]]
3	149871319	149871850	PGPAHARIT00000003340	PGALLT00000093526	+	PgeneID:ENSMUST00000118482.1	ParentID:ENSMUST00000072503	LEVEL_1	PSSD	[[149871319, 149871850]]
5	91349489	91510895	PGPAHARIT00000008086	PGALLT00000093985	+	PgeneID:ENSMUST00000190357.1	ParentID:ENSMUST00000188735	LEVEL_1	DUP	[[91349489,  91349605],  [91369152,  91369277],  [91383113,  91383361],  [91387635,  91387883],  [91397408,  91397647],  [91456737,  91456891],  [91505514,  91505732],  [91510704, 91510895]]
16	8503108	8504276	PGPAHARIT00000011293	PGALLT00000087936	+	PgeneID:ENSMUST00000117854.2	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[8503108, 8504276]]
5	11980580	11981585	PGPAHARIT00000008948	PGALLT00000094369	+	PgeneID:ENSMUST00000178167.2	ParentID:ENSMUST00000026125	LEVEL_1	PSSD	[[11980580, 11981585]]
13	12766018	12766694	PGPAHARIT00000001534	PGALLT00000088730	+	PgeneID:ENSMUST00000119079.1	ParentID:ENSMUST00000058437	LEVEL_1	PSSD	[[12766018, 12766694]]
5	78030086	78030773	PGPAHARIT00000007019	PGALLT00000092789	-	PgeneID:ENSMUST00000189423.1	ParentID:ENSMUST00000026743	LEVEL_1	PSSD	[[78030086, 78030773]]
4	40585821	40587087	PGPAHARIT00000004569	PGALLT00000087198	-	PgeneID:ENSMUST00000182641.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[40585821, 40587087]]
3	61851513	61852560	PGPAHARIT00000005273	PGALLT00000090545	-	PgeneID:ENSMUST00000120947.1	ParentID:NA	LEVEL_2	PSSD	[[61851513,  61851921],  [61852522, 61852560]]
X	52037417	52038380	PGPAHARIT00000007658	PGALLT00000094809	+	PgeneID:ENSMUST00000121121.1	ParentID:ENSMUST00000035105	LEVEL_1	PSSD	[[52037417, 52038380]]
16	66884592	66886752	PGPAHARIT00000007185	PGALLT00000092256	+	PgeneID:ENSMUST00000177721.1	ParentID:ENSMUST00000021428	LEVEL_1	PSSD	[[66884592, 66886752]]
13	65553406	65553733	PGPAHARIT00000001859	PGALLT00000094152	+	PgeneID:ENSMUST00000201331.1	ParentID:ENSMUST00000023851	LEVEL_1	PSSD	[[65553406, 65553733]]
1	96225894	96226122	PGPAHARIT00000004295	PGALLT00000093451	+	PgeneID:ENSMUST00000207021.1	ParentID:ENSMUST00000059980	LEVEL_1	PSSD	[[96225894, 96226122]]
7	54044470	54047942	PGPAHARIT00000006389	PGALLT00000092254	-	PgeneID:ENSMUST00000140773.1	ParentID:ENSMUST00000164659	LEVEL_1	PSSD	[[54044470,  54045612],  [54045779,  54045941],  [54047936, 54047942]]
14	87768603	87769092	PGPAHARIT00000000077	PGALLT00000095170	-	PgeneID:ENSMUST00000202633.1	ParentID:NA	LEVEL_2	pseudogene	[[87768603, 87769092]]
7	108121881	108122151	PGPAHARIT00000006028	PGALLT00000096767	-	PgeneID:ENSMUST00000194897.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[108121881, 108122151]]
6	83136021	83143870	PGPAHARIT00000006651	PGALLT00000081826	-	PgeneID:ENSMUST00000120791.1	ParentID:NA	LEVEL_2	PSSD	[[83136021,  83137511],  [83142590,  83142661],  [83143746, 83143870]]
X	82719598	82720047	PGPAHARIT00000000573	PGALLT00000094966	+	PgeneID:ENSMUST00000120611.1	ParentID:ENSMUST00000060251	LEVEL_1	PSSD	[[82719598, 82720047]]
5	76974449	76975974	PGPAHARIT00000011340	PGALLT00000096542	+	PgeneID:ENSMUST00000186725.1	ParentID:ENSMUST00000022147	LEVEL_1	PSSD	[[76974449,  76974827],  [76975690, 76975974]]
scaffold_11304	5223	6195	PGPAHARIT00000007403	PGALLT00000088826	+	PgeneID:ENSMUST00000188191.1	ParentID:NA	LEVEL_2	DUP	[[5223, 6195]]
3	68917060	68917277	PGPAHARIT00000000208	PGALLT00000091275	+	PgeneID:ENSMUST00000117925.1	ParentID:ENSMUST00000103133	LEVEL_1	PSSD	[[68917060, 68917277]]
22	32543606	32545065	PGPAHARIT00000009687	PGALLT00000092458	+	PgeneID:ENSMUST00000121989.1	ParentID:ENSMUST00000192639	LEVEL_1	PSSD	[[32543606,  32544306],  [32544338, 32545065]]
8	17759347	17759539	PGPAHARIT00000010139	PGALLT00000084728	-	PgeneID:ENSMUST00000195682.1	ParentID:NA	LEVEL_2	DUP	[[17759347, 17759539]]
2	60546297	60546569	PGPAHARIT00000001566	PGALLT00000096818	+	PgeneID:ENSMUST00000194700.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[60546297, 60546569]]
14	1723375	1724377	PGPAHARIT00000005441	PGALLT00000094564	-	PgeneID:ENSMUST00000182196.1	ParentID:ENSMUST00000117757	LEVEL_1	PSSD	[[1723375, 1724377]]
8	5400192	5400549	PGPAHARIT00000009082	PGALLT00000089848	-	PgeneID:ENSMUST00000118492.1	ParentID:ENSMUST00000180036	LEVEL_1	PSSD	[[5400192, 5400549]]
4	46086334	46087500	PGPAHARIT00000007361	PGALLT00000092487	-	PgeneID:ENSMUST00000194234.1	ParentID:NA	LEVEL_2	PSSD	[[46086334,  46086372],  [46087232, 46087500]]
12	217052	217356	PGPAHARIT00000007080	PGALLT00000089370	+	PgeneID:ENSMUST00000121410.2	ParentID:ENSMUST00000045897	LEVEL_1	PSSD	[[217052, 217356]]
5	145629260	145629865	PGPAHARIT00000008504	PGALLT00000088291	+	PgeneID:ENSMUST00000201212.1	ParentID:ENSMUST00000056592	LEVEL_1	DUP	[[145629260, 145629865]]
6	73871730	73880774	PGPAHARIT00000006620	PGALLT00000087690	-	PgeneID:ENSMUST00000119988.1	ParentID:ENSMUST00000106265	LEVEL_1	DUP	[[73871730, 73871847], [73872503, 73872600], [73880642, 73880774]]
3	112316440	112317288	PGPAHARIT00000009507	PGALLT00000091226	+	PgeneID:ENSMUST00000122339.1	ParentID:NA	LEVEL_2	PSSD	[[112316440,  112316582],  [112316671,  112316839],  [112317268, 112317288]]
14	70175658	70176260	PGPAHARIT00000010320	PGALLT00000091741	-	PgeneID:ENSMUST00000120601.1	ParentID:ENSMUST00000033008	LEVEL_1	PSSD	[[70175658, 70176260]]
8	41731944	41732378	PGPAHARIT00000008893	PGALLT00000095332	+	PgeneID:ENSMUST00000162314.1	ParentID:NA	LEVEL_2	DUP	[[41731944, 41732378]]
5	128836905	128837262	PGPAHARIT00000008309	PGALLT00000089201	+	PgeneID:ENSMUST00000193803.1	ParentID:ENSMUST00000035983	LEVEL_1	PSSD	[[128836905, 128837262]]
3	60926560	60927165	PGPAHARIT00000003552	PGALLT00000088662	-	PgeneID:ENSMUST00000117183.1	ParentID:ENSMUST00000102696	LEVEL_1	PSSD	[[60926560, 60927165]]
4	65577547	65580735	PGPAHARIT00000006056	PGALLT00000094800	+	PgeneID:ENSMUST00000194185.1	ParentID:ENSMUST00000111964	LEVEL_1	PSSD	[[65577547,  65577889],  [65578529,  65578677],  [65579900, 65580735]]
10	116509971	116510270	PGPAHARIT00000005865	PGALLT00000089518	+	PgeneID:ENSMUST00000172274.1	ParentID:ENSMUST00000185384	LEVEL_1	PSSD	[[116509971, 116510270]]
X	52592832	52594064	PGPAHARIT00000002990	PGALLT00000096235	-	PgeneID:ENSMUST00000119069.1	ParentID:ENSMUST00000001724	LEVEL_1	PSSD	[[52592832, 52594064]]
5	2932135	2933748	PGPAHARIT00000003501	PGALLT00000091911	-	PgeneID:ENSMUST00000178260.1	ParentID:ENSMUST00000124990	LEVEL_1	DUP	[[2932135,  2932284],  [2933599, 2933748]]
15	32165768	32166560	PGPAHARIT00000010717	PGALLT00000094980	+	PgeneID:ENSMUST00000195341.1	ParentID:ENSMUST00000115659	LEVEL_1	DUP	[[32165768,  32165836],  [32165973, 32166560]]
21	18532883	18535461	PGPAHARIT00000006304	PGALLT00000095334	-	PgeneID:ENSMUST00000182769.8	ParentID:NA	LEVEL_2	polymorphic_pseudogene	[[18532883,  18533094],  [18533933,  18534036],  [18534483,  18534486],  [18534487,  18534530],  [18534883,  18534999],  [18535239, 18535461]]
3	91105102	91105660	PGPAHARIT00000009023	PGALLT00000090561	+	PgeneID:ENSMUST00000119402.1	ParentID:ENSMUST00000114882	LEVEL_1	PSSD	[[91105102, 91105660]]
4	62124594	62125348	PGPAHARIT00000008098	PGALLT00000088723	-	PgeneID:ENSMUST00000195440.1	ParentID:ENSMUST00000033673	LEVEL_1	PSSD	[[62124594, 62125348]]
4	133314101	133323628	PGPAHARIT00000005648	PGALLT00000087312	+	PgeneID:ENSMUST00000117181.1	ParentID:NA	LEVEL_2	PSSD	[[133314101,  133314158],  [133320202,  133320489],  [133323280, 133323628]]
16	25843076	25843972	PGPAHARIT00000004296	PGALLT00000094881	+	PgeneID:ENSMUST00000120434.1	ParentID:NA	LEVEL_2	DUP	[[25843076, 25843972]]
21	7485622	7486868	PGPAHARIT00000000544	PGALLT00000095312	+	PgeneID:ENSMUST00000163135.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[7485622, 7486868]]
16	25842994	25843951	PGPAHARIT00000010122	PGALLT00000094930	+	PgeneID:ENSMUST00000118640.1	ParentID:NA	LEVEL_2	DUP	[[25842994, 25843951]]
1	96201383	96201894	PGPAHARIT00000006400	PGALLT00000092364	+	PgeneID:ENSMUST00000205464.1	ParentID:ENSMUST00000071006	LEVEL_1	PSSD	[[96201383, 96201894]]
14	71897450	71897839	PGPAHARIT00000008829	PGALLT00000095439	+	PgeneID:ENSMUST00000120955.1	ParentID:NA	LEVEL_2	PSSD	[[71897450, 71897839]]
13	61914656	61914895	PGPAHARIT00000007755	PGALLT00000095231	-	PgeneID:ENSMUST00000197380.1	ParentID:ENSMUST00000033582	LEVEL_1	transcribed_PSSD	[[61914656, 61914895]]
X	43833352	43845520	PGPAHARIT00000007604	PGALLT00000093523	-	PgeneID:ENSMUST00000193588.1	ParentID:NA	LEVEL_2	PSSD	[[43833352,  43833378],  [43835316,  43835478],  [43843438,  43843651],  [43845204,  43845279],  [43845369, 43845520]]
16	36866638	36867022	PGPAHARIT00000006160	PGALLT00000094908	-	PgeneID:ENSMUST00000117761.1	ParentID:ENSMUST00000185771	LEVEL_1	PSSD	[[36866638, 36867022]]
2	60510528	60510811	PGPAHARIT00000005135	PGALLT00000094320	+	PgeneID:ENSMUST00000194256.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[60510528, 60510811]]
X	75231527	75232673	PGPAHARIT00000009727	PGALLT00000095813	-	PgeneID:ENSMUST00000118888.1	ParentID:ENSMUST00000125172	LEVEL_1	PSSD	[[75231527,  75232553],  [75232655, 75232673]]
10	34830579	34831490	PGPAHARIT00000000214	PGALLT00000089177	-	PgeneID:ENSMUST00000055796.5	ParentID:ENSMUST00000050807	LEVEL_1	pseudogene	[[34830579, 34831490]]
5	29339093	29339742	PGPAHARIT00000001255	PGALLT00000087286	-	PgeneID:ENSMUST00000186262.1	ParentID:ENSMUST00000006764	LEVEL_1	PSSD	[[29339093, 29339742]]
14	81575937	81577094	PGPAHARIT00000010716	PGALLT00000093135	+	PgeneID:ENSMUST00000122121.1	ParentID:ENSMUST00000020099	LEVEL_1	PSSD	[[81575937,  81576035],  [81576274, 81577094]]
3	75907264	75912899	PGPAHARIT00000005576	PGALLT00000092057	+	PgeneID:ENSMUST00000119075.1	ParentID:NA	LEVEL_2	PSSD	[[75907264,  75907310],  [75908777,  75908988],  [75912777, 75912899]]
14	1128680	1129448	PGPAHARIT00000006162	PGALLT00000093129	+	PgeneID:ENSMUST00000121140.1	ParentID:ENSMUST00000152407	LEVEL_1	PSSD	[[1128680,  1129009],  [1129080, 1129448]]
23	7181184	7194519	PGPAHARIT00000002265	PGALLT00000094143	+	PgeneID:ENSMUST00000117937.1	ParentID:NA	LEVEL_2	PSSD	[[7181184,  7181359],  [7186129,  7186371],  [7186526,  7186663],  [7192663,  7192836],  [7193378,  7193487],  [7193611,  7193718],  [7194356, 7194519]]
3	66723026	66724061	PGPAHARIT00000008604	PGALLT00000088670	-	PgeneID:ENSMUST00000117618.1	ParentID:ENSMUST00000205926	LEVEL_1	PSSD	[[66723026,  66723183],  [66723578,  66723640],  [66724061, 66724061]]
5	143309001	143309282	PGPAHARIT00000003193	PGALLT00000088041	+	PgeneID:ENSMUST00000194254.1	ParentID:ENSMUST00000112384	LEVEL_1	PSSD	[[143309001, 143309282]]
16	33694674	33697361	PGPAHARIT00000002501	PGALLT00000093412	+	PgeneID:ENSMUST00000119279.1	ParentID:ENSMUST00000033673	LEVEL_1	PSSD	[[33694674,  33696902],  [33697067, 33697361]]
2	62019494	62019835	PGPAHARIT00000006202	PGALLT00000088654	+	PgeneID:ENSMUST00000205206.1	ParentID:ENSMUST00000053647	LEVEL_1	DUP	[[62019494, 62019835]]
5	59757893	59761274	PGPAHARIT00000005444	PGALLT00000090088	-	PgeneID:ENSMUST00000191337.1	ParentID:ENSMUST00000077046	LEVEL_1	PSSD	[[59757893, 59761274]]
13	19461298	19462766	PGPAHARIT00000005719	PGALLT00000093956	-	PgeneID:ENSMUST00000117538.1	ParentID:ENSMUST00000117757	LEVEL_1	PSSD	[[19461298,  19462300],  [19462391, 19462766]]
16	1057886	1060005	PGPAHARIT00000000763	PGALLT00000090895	-	PgeneID:ENSMUST00000121150.1	ParentID:ENSMUST00000070116	LEVEL_1	PSSD	[[1057886, 1060005]]
4	76823372	76824067	PGPAHARIT00000000522	PGALLT00000095475	-	PgeneID:ENSMUST00000193963.1	ParentID:ENSMUST00000022163	LEVEL_1	PSSD	[[76823372, 76824067]]
3	32656382	32656885	PGPAHARIT00000005888	PGALLT00000088590	+	PgeneID:ENSMUST00000118312.1	ParentID:ENSMUST00000032597	LEVEL_1	PSSD	[[32656382, 32656885]]
X	122590961	122591975	PGPAHARIT00000005398	PGALLT00000087682	+	PgeneID:ENSMUST00000118201.1	ParentID:ENSMUST00000036004	LEVEL_1	PSSD	[[122590961,  122591256],  [122591297, 122591975]]
4	59172121	59172442	PGPAHARIT00000006491	PGALLT00000092347	+	PgeneID:ENSMUST00000196891.1	ParentID:ENSMUST00000132846	LEVEL_1	PSSD	[[59172121, 59172442]]
5	102976866	102977454	PGPAHARIT00000007395	PGALLT00000087166	-	PgeneID:ENSMUST00000188996.1	ParentID:ENSMUST00000102814	LEVEL_1	PSSD	[[102976866, 102977454]]
scaffold_1954	58124	190057	PGPAHARIT00000005024	PGALLT00000093896	+	PgeneID:ENSMUST00000186155.1	ParentID:NA	LEVEL_2	DUP	[[58124,  58280],  [62449,  62620],  [91420,  91526],  [189849, 190057]]
X	97550669	97551662	PGPAHARIT00000002563	PGALLT00000090764	+	PgeneID:ENSMUST00000118721.1	ParentID:ENSMUST00000023598	LEVEL_1	PSSD	[[97550669, 97551662]]
10	51827125	51827683	PGPAHARIT00000002783	PGALLT00000091137	+	PgeneID:ENSMUST00000126393.1	ParentID:NA	LEVEL_2	transcribed_PSSD	[[51827125, 51827683]]
10	113197223	113197961	PGPAHARIT00000000116	PGALLT00000091905	+	PgeneID:ENSMUST00000121130.1	ParentID:ENSMUST00000092425	LEVEL_1	PSSD	[[113197223, 113197961]]
2	133436562	133437248	PGPAHARIT00000010371	PGALLT00000088048	+	PgeneID:ENSMUST00000166613.1	ParentID:NA	LEVEL_2	transcribed_DUP	[[133436562,  133436645],  [133436730,  133436784],  [133436869,  133437098],  [133437138, 133437248]]
3	121752316	121753325	PGPAHARIT00000000488	PGALLT00000089165	-	PgeneID:ENSMUST00000119340.1	ParentID:ENSMUST00000109940	LEVEL_1	PSSD	[[121752316, 121753325]]
4	13481228	13481562	PGPAHARIT00000007001	PGALLT00000087513	+	PgeneID:ENSMUST00000195444.1	ParentID:NA	LEVEL_2	PSSD	[[13481228, 13481562]]
5	144289745	144290900	PGPAHARIT00000004436	PGALLT00000093850	+	PgeneID:ENSMUST00000194947.1	ParentID:ENSMUST00000025357	LEVEL_1	PSSD	[[144289745, 144290900]]
4	42398767	42400082	PGPAHARIT00000010058	PGALLT00000087750	-	PgeneID:ENSMUST00000182774.1	ParentID:ENSMUST00000044158	LEVEL_1	PSSD	[[42398767, 42400082]]
3	53862746	53862828	PGPAHARIT00000005854	PGALLT00000088030	+	PgeneID:ENSMUST00000119404.1	ParentID:NA	LEVEL_2	PSSD	[[53862746, 53862828]]
15	30650308	30651676	PGPAHARIT00000009503	PGALLT00000097127	+	PgeneID:ENSMUST00000122135.1	ParentID:ENSMUST00000085546	LEVEL_1	PSSD	[[30650308, 30651676]]
2	60868368	60868423	PGPAHARIT00000009072	PGALLT00000088186	+	PgeneID:ENSMUST00000169595.1	ParentID:NA	LEVEL_2	TR_J_pseudogene	[[60868368, 60868423]]
8	9861094	9862769	PGPAHARIT00000010620	PGALLT00000091792	-	PgeneID:ENSMUST00000198379.1	ParentID:ENSMUST00000171737	LEVEL_1	PSSD	[[9861094,  9861458],  [9861523,  9861552],  [9861656,  9862581],  [9862691, 9862769]]
3	73469944	73470879	PGPAHARIT00000005370	PGALLT00000092598	-	PgeneID:ENSMUST00000137895.1	ParentID:ENSMUST00000099837	LEVEL_1	DUP	[[73469944, 73470879]]
5	93383046	93384014	PGPAHARIT00000003983	PGALLT00000090632	-	PgeneID:ENSMUST00000190678.1	ParentID:ENSMUST00000163070	LEVEL_1	PSSD	[[93383046,  93383366],  [93383697, 93384014]]
1	61290094	61290954	PGPAHARIT00000002847	PGALLT00000087638	-	PgeneID:ENSMUST00000058881.7	ParentID:ENSMUST00000022163	LEVEL_1	PSSD	[[61290094, 61290954]]
6	78361060	78361735	PGPAHARIT00000006132	PGALLT00000093513	-	PgeneID:ENSMUST00000119406.1	ParentID:ENSMUST00000196402	LEVEL_1	PSSD	[[78361060, 78361735]]
4	31528785	31529886	PGPAHARIT00000006830	PGALLT00000095329	+	PgeneID:ENSMUST00000117109.1	ParentID:NA	LEVEL_2	PSSD	[[31528785, 31529886]]
2	132606265	132606811	PGPAHARIT00000005052	PGALLT00000096690	+	PgeneID:ENSMUST00000203025.1	ParentID:ENSMUST00000038830	LEVEL_1	PSSD	[[132606265, 132606811]]
6	9276309	9277089	PGPAHARIT00000002130	PGALLT00000092065	-	PgeneID:ENSMUST00000119620.1	ParentID:ENSMUST00000028151	LEVEL_1	PSSD	[[9276309, 9277089]]
